"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","STATE_LOCAL_PENALTY_AMT","COST_RECOVERY_AMT","FED_PENALTY","COMPLIANCE_ACTION_COST","SEP_COST","PENALTY_COLLECTED_AMT"
"1286","01-2000-0090","1192",,"0","0","193",,
"1287","01-2000-0091","1193",,"0","0","193",,
"1288","01-2000-0092","1194",,"0","0","193",,
"1289","01-2000-0093","1195",,"0","0","193",,
"1290","01-2000-0094","1196",,"0","0","193",,
"1291","01-2000-0095","1197",,"0","0","193",,
"1292","01-2000-0096","1198",,"0","0","193",,
"1293","01-2000-0097","1199",,"0","0","193",,
"1294","01-2000-0098","1200",,"0","0","193",,
"1295","01-2000-0099","1201",,"0","0","193",,
"1296","01-2000-0100","1202",,"0","0","193",,
"1297","01-2000-0102","1203",,"0","0","193",,
"1298","01-2000-0103","1204",,"0","0","193",,
"1299","01-2000-0104","1205",,"0","0","193",,
"1300","01-2000-0105","1206",,"0","0","193",,
"1301","01-2000-0106","1207",,"0","0","193",,
"1302","01-2000-0107","1208",,"0","0","193",,
"1303","01-2000-0108","1209",,"0","0","0",,
"1304","01-2000-0109","1210",,"0","0","193",,
"1305","01-2000-0110","1211",,"0","0","193",,
"1306","01-2000-0111","1212",,"0","0","193",,
"1307","01-2000-0112","1213",,"0","0","193",,
"1308","01-2000-0113","1214",,"0","0","193",,
"1309","01-2000-0114","1215",,"0","0","193",,
"1310","01-2000-0115","1216",,"0","0","193",,
"1311","01-2000-0116","1217",,"0","0","193",,
"1312","01-2000-0117","1218",,"0","0","193",,
"270","01-1993-0019","244",,"250000","0","0",,
"274","01-1993-0023","245",,"232369","0","0",,
"275","01-1993-0024","246",,"0","5375","0",,
"276","01-1993-0025","247",,"0","550000","111000",,
"277","01-1993-0026","248",,"0","225000","0","0",
"278","01-1993-0027","249",,"0","40000","0","0",
"279","01-1993-0028","250",,"1822755","0","0",,
"279","01-1993-0028","251",,"0","0","0",,
"279","01-1993-0028","252",,"0","0","0",,
"281","01-1994-0001","253",,"1218000","0","0",,
"282","01-1994-0002","254",,"0","51000","180000000",,
"283","01-1994-0003","255",,"0","0","0",,
"284","01-1994-0004","256",,"0","20000","0",,
"285","01-1994-0005","257",,"0","5000","5000",,
"286","01-1994-0006","258",,"0","0","15700000",,
"287","01-1994-0007","259","0","0","25000","0",,
"288","01-1994-0008","260",,"0","200000","50000","0",
"289","01-1994-0009","261",,"0","225000","0",,
"290","01-1994-0010","262",,"0","210000","70000",,
"1786","02-1978-0019","1560",,"0","0","0",,
"1788","02-1978-0021","1561",,"0","75000","0",,
"1789","02-1978-0022","1562",,"0","0","0",,
"3950","02-1990-0225","3023",,"0","5100","0",,
"3951","02-1990-0226","3024",,"0","22125","0",,
"3952","02-1990-0227","3025",,"0","3000","0",,
"3953","02-1990-0228","3026",,"0","4500","0",,
"3954","02-1990-0229","3027",,"0","5000","0",,
"3955","02-1990-0230","3028",,"0","67321","0",,
"3956","02-1990-0231","3029",,"0","41607","0",,
"3957","02-1990-0232","3030",,"0","93036","0",,
"3958","02-1990-0233","3031",,"0","48036","0",,
"3959","02-1990-0234","3032",,"0","10000","0",,
"3960","02-1990-0235","3033",,"0","17000","0",,
"3961","02-1990-0236","3034",,"0","18511","0",,
"3962","02-1990-0237","3035",,"0","2500","0",,
"3963","02-1990-0238","3036",,"0","4500","0",,
"3966","02-1990-0242","3037",,"0","15000","0",,
"3969","02-1990-0262","3038",,"0","2500","0",,
"3973","02-1990-0279","3039",,"0","5000","0",,
"3974","02-1990-0280","3040",,"0","0","0",,
"3980","02-1990-0365","3041",,"0","0","0",,
"3981","02-1990-0366","3042",,"0","0","0",,
"3982","02-1990-0367","3043",,"0","0","0",,
"3983","02-1990-0368","3044",,"0","0","0",,
"3984","02-1990-0369","3045",,"0","0","0",,
"3986","02-1990-0371","3046",,"0","69000","0",,
"3902","02-1990-0177","2979",,"0","15000","0",,
"3902","02-1990-0177","2980",,"0","500000","0",,
"3903","02-1990-0178","2981",,"4000000","0","0",,
"3906","02-1990-0181","53388",,"21500000","0","0",,
"4010","02-1990-0396","3061",,"1","0","0",,
"4011","02-1990-0397","3062",,"1","0","0",,
"3907","02-1990-0182","2982",,"35000","0","0",,
"1329","01-2000-0134","1235",,"0","0","193",,
"1330","01-2000-0135","1236",,"0","0","193",,
"1331","01-2000-0136","1237",,"0","0","193",,
"1332","01-2000-0137","1238",,"0","0","193",,
"1333","01-2000-0138","1239",,"0","0","193",,
"1334","01-2000-0139","1240",,"0","0","193",,
"1335","01-2000-0140","1241",,"0","0","193",,
"1336","01-2000-0141","1242",,"0","0","193",,
"1337","01-2000-0142","1243",,"0","0","193",,
"1338","01-2000-0143","1244",,"0","0","193",,
"1339","01-2000-0144","1245",,"0","0","193",,
"1340","01-2000-0145","1246",,"0","0","193",,
"1341","01-2000-0146","1247",,"0","0","193",,
"1342","01-2000-0147","1248",,"0","0","193",,
"1343","01-2000-0148","1249",,"0","0","193",,
"1344","01-2000-0149","1250",,"0","0","193",,
"1345","01-2000-0150","1251",,"0","0","193",,
"1346","01-2000-0151","1252",,"0","0","193",,
"1347","01-2000-0152","1253",,"0","0","193",,
"1348","01-2000-0153","1254",,"0","0","193",,
"1349","01-2000-0154","1255",,"0","4125","0",,
"1350","01-2000-0155","1256",,"0","0","0",,
"1351","01-2000-0156","1257",,"356000","0","0",,
"1355","01-2000-0169","1258",,"0","650","0",,
"1356","01-2000-0170","1259",,"0","1000","0",,
"1357","01-2000-0171","1260",,"0","1300","0",,
"1358","01-2000-0172","1261",,"0","1000","1000",,
"1942","02-1985-0040","1709",,"300000","0","0",,
"1000007854","07-2008-0176","1000000804",,"0","0","6000",,
"1000007858","05-2008-0091","1000000805",,"0","0","0",,
"2329","02-1986-0429","1989",,"0","1800","0",,
"2330","02-1986-0431","1990",,"0","1000","0",,
"2336","02-1987-0016","1991",,"0","13000","0",,
"2337","02-1987-0017","1992",,"0","5000","0",,
"2338","02-1987-0018","1993",,"0","3000","0",,
"2339","02-1987-0019","1994",,"0","0","0",,
"2340","02-1987-0020","1995",,"0","1750","0",,
"2342","02-1987-0022","1996",,"0","20500","0",,
"2343","02-1987-0023","1997",,"0","0","0",,
"2344","02-1987-0024","1998",,"0","7500","0",,
"2345","02-1987-0025","1999",,"0","17000","0",,
"2346","02-1987-0026","2000",,"0","9425","0",,
"600045305","01-2007-1011","600009230",,"0","26500","250000",,
"2348","02-1987-0028","2002",,"0","2000","0",,
"2349","02-1987-0029","2003",,"0","16000","0",,
"98827","02-2003-0007","600009233",,"2197284.45","0","0",,
"600045404","08-2007-0093","600009236",,"0","0","45500",,
"155940","05-2005-9823","600009239","0","0","85000","27000",,"85000"
"2353","02-1987-0033","2007",,"0","1460","0",,
"2354","02-1987-0034","2008",,"0","2000","0",,
"2499","02-1987-0256","2108",,"0","1000","0",,
"2500","02-1987-0257","2109",,"0","4200","0",,
"2501","02-1987-0258","2110",,"0","6000","0",,
"2502","02-1987-0259","2111",,"0","1500","0",,
"2206","02-1986-0285","1888",,"200000","100000","0",,
"600045441","08-2007-0094","600009242",,"0","0","300",,
"600042192","03-2007-0077","600009243",,"0","6758","10000",,"6758"
"2206","02-1986-0285","1889",,"100000","0","0",,
"122","01-1987-0002","114",,"0","0","0",,
"122","01-1987-0002","115",,"0","0","0",,
"122","01-1987-0002","116",,"0","0","0",,
"123","01-1987-0004","117","0","800000","0","0",,
"124","01-1987-0005","118","0","383487","0","0",,
"126","01-1987-0007","119","0","0","1113000","0",,
"1730","01-2002-0093","48029",,"0","0","0",,
"1733","01-2002-0096","49374",,"0","0","0",,
"1735","01-2002-0098","1524",,"0","20815","100",,
"1736","01-2002-0099","47745",,"0","27500","558427","150000",
"1737","01-2002-0100","1525",,"0","0","0",,
"1738","02-1975-0002","1526",,"0","2000","0",,
"1739","02-1975-0005","1527",,"0","0","0",,
"1458","01-2000-0278","1332",,"0","16087","0",,
"1460","01-2001-0002","1333","18000","0","18000","57000","0",
"1462","01-2001-0004","1334",,"0","0","13000000",,
"1463","01-2001-0005","1335",,"0","17500","5000","60901",
"1464","01-2001-0006","1336",,"0","0","0",,
"1466","01-2001-0008","1338","0","0","0","250000",,
"1469","01-2001-0011","1339",,"0","0","50",,
"1470","01-2001-0012","1340",,"0","58478","25000",,
"1471","01-2001-0013","1341",,"3129777","0","0",,
"2695","02-1987-0549","2250",,"0","58640","0",,
"2697","02-1987-0551","2251",,"0","5848","0",,
"2698","02-1987-0552","2252",,"0","33812","0",,
"2699","02-1987-0553","2253",,"0","1575","0",,
"2700","02-1987-0554","2254",,"0","1575","0",,
"2701","02-1987-0555","2255",,"0","1575","0",,
"2702","02-1987-0556","2256",,"0","1575","0",,
"2703","02-1987-0557","2257",,"0","2000","0",,
"2707","02-1987-0564","2258",,"0","1","0",,
"2715","02-1987-0584","2259",,"0","22291","0",,
"2717","02-1987-0590","2260",,"0","7480","0",,
"2730","02-1987-0636","2261",,"0","35000","0",,
"2731","02-1987-0637","2262",,"0","85000","0",,
"3237","02-1988-0708","2521",,"0","5500","0",,
"3238","02-1988-0709","2522",,"0","10000","0",,
"3239","02-1988-0710","2523",,"0","1000","0",,
"2732","02-1987-0638","2263",,"109511","0","0",,
"2736","02-1987-0651","2264",,"0","9600","0",,
"2738","02-1987-0653","2265",,"0","2100","0",,
"2739","02-1987-0654","2266",,"0","1000","0",,
"2744","02-1987-0659","2267",,"0","7800","0",,
"2745","02-1987-0660","2268",,"0","22500","0",,
"2749","02-1988-0012","2270",,"0","2500","0",,
"2751","02-1988-0014","2272",,"0","600","0",,
"2752","02-1988-0015","2273",,"0","1000","0",,
"2753","02-1988-0016","2274",,"0","3600","0",,
"2754","02-1988-0017","2275",,"0","4000","0",,
"2755","02-1988-0018","2276",,"0","10000","0",,
"2756","02-1988-0019","2277",,"0","10000","0",,
"3658","02-1989-0365","2815",,"1100000","0","0",,
"600045773","04-2007-2738","600009276",,"0","32500","200",,
