"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","ICIS_FACILITY_INTEREST_ID","FACILITY_UIN","FACILITY_NAME","FACILITY_CITY","FACILITY_STATE","FACILITY_ZIP"
"287","01-1994-0007","259","42837","110039681644","C M ALMY & SONS","PITTSFIELD","ME","04967"
"307","01-1994-0029","274","3539","110011370471","CORNWALL AND PATTERSON","BRIDGEPORT","CT","066050000"
"309","01-1995-0003","276","17098","110001406835","ADVANCE STONE INCORPORATED","NEW MILFORD","CT","06776"
"310","01-1995-0004","277","41012","110010598781","RIDGEFIELD BROOK WETLANDS LDFL","RIDGEFIELD","CT","06877"
"311","01-1995-0005","278","23311","110011571575","VANCO TRADING INC","DARIEN","CT","06820"
"312","01-1995-0006","279","23327","110010786541","BANGOR CITY OF DPW","BANGOR","ME","04401"
"313","01-1995-0007","280","23204","110000316630","BYK CHEMIE USA INCORPORATED","WALLINGFORD","CT","064927651"
"314","01-1995-0008","281","36726","110000317416","O Z GEDNEY L L C","TERRYVILLE","CT","06786"
"315","01-1995-0009","282","23925","110001662987","LEVIN PLATING","PAWTUCKET","RI","02860"
"316","01-1995-0010","283","14551","110010598567","RJ CINCOTTA CO INC","WALTHAM","MA","02452"
"317","01-1995-0011","284","29474","110020857134","S D WARREN COMPANY","WESTBROOK","ME","040981597"
"318","01-1995-0012","285","1849","110011137055","MACONE BROS INC","SUDBURY","MA","01776"
"319","01-1995-0013","286","2552","110000574977","WOONSOCKET REGIONAL WASTEWATER COM.","WOONSOCKET","RI","02895"
"320","01-1995-0014","287","31160","110000621532","CENTURY BRASS PRODUCTS NEW MILFORD PLANT","NEW MILFORD","CT","06776"
"321","01-1995-0015","288","46147","110000315819","ROGERS CORPORATION","WOODSTOCK","CT","06281"
"322","01-1995-0016","289","39707","110010598585","TESTA EXCAVATING INC","STAMFORD","CT","06905"
"324","01-1995-0018","291","41794","110013137550","CHARLESTON CORRECTIONAL FACILITY","CHARLESTON","ME","04422"
"325","01-1995-0019","292","42587","110002475991","FRANKLIN MUSHROOM FARMS","NORTH FRANKLIN","CT","06254"
"326","01-1995-0020","293","18476","110010639844","CALABRESE CONSTRUCTION CO INC","WATERBURY","CT","06705"
"327","01-1995-0021","294","22496","110001730636","SOUTHERN CONN STATE UNIV","NEW HAVEN","CT","06515"
"329","01-1995-0023","296","30388","110010598594","LYNWOOD LABORATORIES INC","NEEDHAM","MA","024923004"
"329","01-1995-0023","296","38860","110000581166","SHIELD PACKAGING COMPANY INCORPORATED","DUDLEY","MA","01571"
"330","01-1995-0024","297","43832","110007371085","BEAVER WOOD POWER","LIVERMORE FALLS","ME","04254"
"331","01-1995-0025","298","8721","110000316159","HANDY & HARMAN","FAIRFIELD","CT","06430"
"332","01-1995-0026","299","9937","110000760757","NBC FIELDS POINT","PROVIDENCE","RI","02905"
"332","01-1995-0026","299","46312",,"EXTRA FACILITY FROM DOCKET FACILITY",,,
"333","01-1995-0027","300","5999","110010598601","CAPITOL ELECTRIC CNSTR CO","BRIDGEPORT","CT","066053349"
"334","01-1995-0028","301","31406","110010598610","MCNIFF CO","GLOUCESTER","MA","01930"
"335","01-1995-0029","302","973","110001940375","FRAMINGHAM STATE COL","FRAMINGHAM","MA","017010000"
"336","01-1995-0030","303","24175","110010598629","FISCHEL CORP","BRIDGEPORT","CT","06604"
"337","01-1995-0031","304","3449","110012466063","ALLEGRO MICROSYSTEMS INCORPORATED","WORCESTER","MA","01606"
"338","01-1995-0032","305","8469","110009586607","ROCKBESTOS SUPRENANT CABLE CORP","CLINTON","MA","01510"
"339","01-1995-0033","306","32949","110000308890","ADVANCE COATINGS CO","WESTMINSTER","MA","01473"
"340","01-1995-0034","307","14218","110011370685","GIERING METAL FINISHING INCORPORATED","HAMDEN","CT","065170000"
"341","01-1995-0035","308","14992","110002089098","LINEMASTER SWITCH CORPORATION","WOODSTOCK","CT","062810238"
"342","01-1995-0036","309","20205","110002085911","NELES JAMESBURY INC LAKESIDE PLT","SHREWSBURY","MA","01545"
"343","01-1995-0037","310","23525","110000826919","S B COLLINS FUEL OIL","SAINT ALBANS","VT","05478"
"344","01-1995-0038","311","18590","110032893983","COLFAX PACKING","PAWTUCKET","RI","02860"
"345","01-1995-0039","312","39377","110010786523","BOLTON WATER SUPPLY CO","BURLINGTON","VT","05401"
"346","01-1995-0040","313","33068","110000797095","HUSSEY SEATING CO","NORTH BERWICK","ME","03906"
"347","01-1995-0041","314","22887","110000863619","CASCO PRODUCTS CORPORATION","BRIDGEPORT","CT","066050"
"348","01-1995-0042","315","13058","110063242539","NORTH ATTLEBORO DPW","NORTH ATTLEBORO","MA","02760"
"349","01-1995-0043","316","37993","110000311626","TEKNOR APEX COMPANY","ATTLEBORO","MA","02703"
"350","01-1995-0044","317","24379","110001404784","NEW WATERBURY LIMITED","WATERBURY","CT","06706"
"351","01-1995-0045","318","16541","110001729602","NEW BRITAIN MACHINE COMPANY","NEW BRITAIN","CT","06050"
"352","01-1995-0046","319","22086","110010622549","SATTVA CHEMICAL CO","STAMFORD","CT","069012703"
"353","01-1995-0047","320","14241","110001979798","GLOBAL CONSTRUCTION CORPORATION","LACONIA","NH","032467660"
"354","01-1995-0048","321","21855","110010622558","JN APPLIANCE CO","LYNN","MA","01901"
"355","01-1995-0049","322","24600","110012286098","GEORGE C HALL & SONS INC","ROCKLAND","ME","04841"
"356","01-1995-0050","323","17142","110028227050","GOODYEAR AUTO SERVICE CENTER","WESTFIELD","MA","01085"
"356","01-1995-0050","323","18606","110012284982","GOODYEAR TIRE & RUBBER CO INC","SOUTH PORTLAND","ME","04106"
"359","01-1995-0053","326","9555","110000314428","SELTZER & RYDHOLM INCORPORATED","AUBURN","ME","04210"
"360","01-1995-0054","327","970","110000762675","DAVOL INC","CRANSTON","RI","02920"
"361","01-1995-0055","328","36036","110001148721","US ARMY NATICK RESEARCH & DEVELOPMENT CENTER","NATICK","MA","017605049"
"362","01-1995-0056","329","10323","110002493819","YALE UNIVERSITY SCHOOL OF MEDICINE","NEW HAVEN","CT","06519"
"362","01-1995-0056","329","12410","110000786828","YALE UNIVERSITY","NEW HAVEN","CT","06511"
"362","01-1995-0056","329","13972","110032925681","YALE UNIVERSITY RADIATION SAFETY DEPARTMENT","NEW HAVEN","CT","06511"
"364","01-1995-0058","331","749","110010622567","FRED W RUSSELL & SONS TRUCKING INC","SOMERVILLE","MA","02143"
"365","01-1995-0059","332","26517","110000563621","BARBER FOODS","PORTLAND","ME","041124821"
"366","01-1995-0060","333","9932","110000313544","HAMPSHIRE CHEMICAL CORPORATION","NASHUA","NH","030615737"
"366","01-1995-0060","333","39943","110000313544","HAMPSHIRE CHEMICAL CORPORATION","NASHUA","NH","03061"
"369","01-1995-0063","335","22185","110016681027","HARROW PRODUCTS INCORPORATED H B IVES DIVISION","NEW HAVEN","CT","06511"
"370","01-1995-0065","336","19485","110000491959","STANCHEM INCORPORATED","EAST BERLIN","CT","060231127"
"371","01-1995-0066","337","6026","110006646246","COLTSVILLE HERITAGE PARK INCORPORATED","HARTFORD","CT","06106"
"372","01-1995-0067","338","11645","110003010811","MERIDEN AIRWAYS","MERIDEN","CT","06450"
"378","01-1995-0073","344","24382","110010639620","FALMOUTH TOWN OF","FALMOUTH","MA","02540"
"380","01-1995-0075","346","19842","110001103369","SUNCOOK WASTEWATER TREATMENT PLANT","ALLENSTOWN","NH","03275"
"381","01-1995-0076","347","13964","110010622594","RYDER TRUCK RENTAL","KILLINGLY","CT","06239"
"382","01-1995-0078","348","27568","110000610919","RAYMARK INDUSTRIES INCORPORATED","STRATFORD","CT","06497"
"383","01-1995-0079","349","28529","110002491508","ACCU CIRCUITS INC","BLOOMFIELD","CT","06002"
"384","01-1995-0080","350","37040","110009259417","FLETCHERS PAINT STORAGE FACILITY","MILFORD","NH","03055"
"385","01-1995-0081","351","24382","110010639620","FALMOUTH TOWN OF","FALMOUTH","MA","02540"
"385","01-1995-0081","351","36523","110010598558","BROOKLINE TOWN OF","BROOKLINE","MA","02446"
"386","01-1995-0082","352","42616","110000581308","FCI USA","LINCOLN","NH","03251"
"387","01-1995-0083","353","23920","110001839789","TIBBETTS BUILDING AND FUEL CENTER","LINCOLN","ME","04457"
"387","01-1995-0083","353","42174","110010639639","TIBBETS BUILDING & FUEL","ENFIELD","ME","04493"
"388","01-1995-0084","354","22078","110002086475","M & V ELECTROPLATING CORPORATION","NEWBURYPORT","MA","01950"
"389","01-1995-0085","355","45355","110010614816","SPAULDING FIBRE","MILTON","NH","03851"
"390","01-1995-0086","356","41162","110009336897","ROGERS AVENUE/TAUNTON GAS","TAUNTON","MA","02780"
"391","01-1995-0087","357","27568","110000610919","RAYMARK INDUSTRIES INCORPORATED","STRATFORD","CT","06497"
"392","01-1995-0088","358","22238","110009289091","CHURCH AVE NORTHBRIDGE","NORTHBRIDGE","MA","01534"
"393","01-1995-0089","359","229","110002087786","RO AN JEWELRY INCORPORATED","JOHNSTON","RI","02919"
"394","01-1995-0090","360","10038","110000786677","LEE COMPANY THE","WESTBROOK","CT","064980000"
"395","01-1995-0092","361","3578","110000308382","DANAHER TOOL GROUP","SPRINGFIELD","MA","01107"
"396","01-1995-0093","362","22132","110000786784","AEROSPACE TECHNIQUES INCORPORATED","CROMWELL","CT","064160000"
"397","01-1995-0094","363","21259","110000846693","MALDEN MILLS INDUSTRIES INCORPORATED","LAWRENCE","MA","018412423"
"398","01-1995-0095","364","1934","110002089472","APPLIED ENGINEERING PRODUCTS INCORPORATED","NEW HAVEN","CT","06513"
"399","01-1995-0096","365","12392","110002089542","CALZONE CASE CO., INC","BRIDGEPORT","CT","06605"
"400","01-1995-0097","366","18493","110012481484","JONETTE JEWELRY COMPANY","EAST PROVIDENCE","RI","02914"
"401","01-1995-0098","367","23737","110001662978","SPRAGUE IND","PROVIDENCE","RI","02907"
"402","01-1995-0099","368","20765","110010598656","CORNELL ENTERPRISES INC","WOONSOCKET","RI","02895"
"405","01-1995-0102","371","10126","110002012036","COLE HERSEE COMPANY","BOSTON","MA","021272467"
"406","01-1995-0103","372","13916","110001404285","SIMKINS INDUSTRIES INCORPORATED","NEW HAVEN","CT","065080000"
"407","01-1995-0104","373","3070","110000762979","ROYAL PLASTICS COMPANY INCORPORATED ROYAL OF AMERICA DBA","PROVIDENCE","RI","02904"
"409","01-1995-0106","375","31815","110010598665","MCR PROPERTY MGMT INC","E HARTFORD","CT","061083561"
"411","01-1995-0109","377","13031","110010639728","WORLD WIDE DRYING","TAUNTON","MA","02780"
"413","01-1995-0111","379","455","110009917509","STOCKBRIDGE WWTP","STOCKBRIDGE","MA","01262"
"417","01-1995-0115","382","6806","110000786524","U S COAST GUARD ACADEMY","NEW LONDON","CT","063200000"
"418","01-1995-0116","383","10054","110004920756","HILLSGROVE CYCLE DBA ROSSI'S AUTOCARE","W WARWICK","RI","02893"
"419","01-1995-0117","384","20758","110070035380","NICKS AUTO BODY & RADIATOR WORKS","PROVIDENCE","RI","02903"
"420","01-1995-0118","385","5453","110004117394","NEW ENGLAND AUTO BODY","HOOKSETT","NH","03106"
"421","01-1995-0119","386","19718","110004928589","MIDLAND MAZDA","W WARWICK","RI","02893"
"422","01-1995-0120","387","11277","110010598674","HAYWARD REFRIGERATION CO INC","NEW LONDON","NH","032574567"
"423","01-1995-0121","388","5883","110002383812","PAUL DEVER DEVELOPMENTAL CENTER","TAUNTON","MA","02780"
"424","01-1995-0122","389","8078","110011368910","IDEAL FORGING CORPORATION","SOUTHINGTON","CT","06489"
"425","01-1995-0123","390","40135","110017234599","LEBANON WATER FILTRATION FACILITY","LEBANON","NH","03756"
"426","01-1995-0124","391","9974","110003554993","BIDDEFORD TEXTILE CO","BIDDEFORD","ME","04005"
"427","01-1995-0125","392","30742","110000308658","CHEMDESIGN CORPORATION","FITCHBURG","MA","014206019"
"428","01-1995-0126","393","15515","110000763157","THEIS PRECISION STEEL CORPORATION","BRISTOL","CT","06010"
"429","01-1995-0127","394","151","110000883928","D G O'BRIEN INCORPORATED","SEABROOK","NH","038740159"
"431","01-1995-0129","396","212","110000570169","NATIONAL SEA PRODUCTS INCORPORATED","PORTSMOUTH","NH","038020839"
"432","01-1995-0130","397","10140","110010625430","FAMILY STORE-TOP GAS","SKOWHEGAN","ME","04976"
"433","01-1995-0131","398","3198","110010614727","AL'S AUTO SALES","BROCKTON","MA","02301"
"434","01-1996-0002","399","9369","110000611115","SOMERS INDUSTRIAL FINISHING CORPORATION","SOMERS","CT","06071"
"435","01-1996-0003","400","10129","110015973954","INTERROYAL CORPORATION","PLAINFIELD","CT","06374"
"439","01-1996-0007","403","4882","110000311298","POLAROID CORPORATION","WALTHAM","MA","02454"
"441","01-1996-0009","405","28857","110010639657","B & B TRUCKING","WESTFIELD","MA","01085"
"442","01-1996-0010","406","6213","110010614736","LEAHY EXCAVATING CO INC","JEFFERSON","MA","015221530"
"443","01-1996-0011","407","25976","110010614745","VITOS PARKWAY SERVICE STATION","REVERE","MA","02151"
"444","01-1996-0012","408","28159","110010639666","PAULS VARIETY STORE","BIDDEFORD","ME","04005"
"445","01-1996-0013","409","46234",,"EXTRA FACILITY FROM DOCKET FACILITY",,,
"446","01-1996-0014","410","36724","110010614754","ARNOLDS TRAIL SERVICE STATION","STRATTON","ME","04982"
"447","01-1996-0015","411","4972","110010614763","KMD SERVICE CENTER","WATERVILLE","ME","04901"
"448","01-1996-0016","412","16517","110010639675","UNION OIL CO","PORTLAND","ME","04104"
"449","01-1996-0017","413","818","110005293306","HI TECH AUTO","BENNINGTON","VT","05201"
"450","01-1996-0018","414","11837","110005262465","HEMMINGS MOTOR NEWS SUNOCO","BENNINGTON","VT","05201"
"451","01-1996-0019","415","32945","110016709720","BENNINGTON HIGHWAY GARAGE","BENNINGTON","VT","05201"
"452","01-1996-0020","416","17169","110001948297","INTERSTATE BRANDS COMPANY","NATICK","MA","017600000"
"453","01-1996-0021","417","21802","110003480572","MURRAY J E INC","AUBURN","MA","01501"
"454","01-1996-0022","418","3442","110010614772","GORHAM MOBIL","GORHAM","ME","04038"
"455","01-1996-0023","419","29524","110010639693","BIG APPLE NO 134","SO PORTLAND","ME","04106"
"456","01-1996-0024","420","38311","110012482982","DRYVIT SYSTEMS INCORPORATED","WEST WARWICK","RI","02893"
"457","01-1996-0025","421","28814","110000732654","TAUNTON WASTE WATER TREATMENT PLANT","TAUNTON","MA","02780"
"458","01-1996-0026","422","29398","110017372118","US FILTER CORP","SOUTH WINDSOR","CT","06074"
"459","01-1996-0027","423","15986","110016496120","BROCKTON A W R F","BROCKTON","MA","02301"
"460","01-1996-0028","424","37440","110001523511","MILFORD STP","MILFORD","NH","03055"
"461","01-1996-0029","425","1820","110006499271","PRODUCTION ENAMELING CORP","BROCKTON","MA","02301"
"462","01-1996-0030","426","40100","110000611268","US ENERGY DEPT KNOLLS ATOMIC POWER LAB","WINDSOR","CT","06095"
"463","01-1996-0031","427","43305","110040852459","US NAVY PORTSMOUTH NAVAL SHIPYARD","KITTERY","ME","03904"
"465","01-1996-0033","429","20435","110001825918","FILL IT UP PLEASE","SOUTH PORTLAND","ME","04106"
"466","01-1996-0034","430","26456","110010614807","YE OLD TAVERN REALTY TRUST","NORWELL","MA","02061"
"467","01-1996-0035","431","30423","110010707360","TOMS GARAGE","NORTH CARVER","MA","02355"
"468","01-1996-0036","432","2281","110010707388","ROBYS ENERGY SERVICES","NORTH CARVER","MA","02355"
"469","01-1996-0037","433","3789","110010707397","FILL IT UP PLEASE","PORTLAND","ME","041033337"
"470","01-1996-0038","434","21459","110010707404","U-HAUL CO OF MAINE","AUGUSTA","ME","04330"
"471","01-1996-0039","435","5038","110010707413","STEVEN DENYER INC","DUXBURY","MA","02331"
"472","01-1996-0040","436","24606","110010707422","LIBBYS SALES & SVC INC","NEW HAVEN","CT","065191044"
"473","01-1996-0041","437","3894","110000732556","WESTFORD ANODIZING CORPORATION","WESTFORD","MA","01886"
"475","01-1996-0043","439","13016","110024333844","P A LANDERS INC","HANOVER","MA","02339"
"476","01-1996-0044","440","16264","110010707440","NORWELL HIGHWAY DEPT","NORWELL","MA","02061"
"479","01-1996-0048","443","32673","110009334381","SHORE CHEMICAL","MADISON","CT","06443"
"480","01-1996-0049","444","4903","110010598790","NICOLORO ROBERT","BIDDEFORD","ME","04005"
"481","01-1996-0050","445","34335","110024540558","102 FIGHTER WING OTIS ANG BASE","BUZZARDS BAY","MA","025425028"
"482","01-1996-0051","446","31980","110021071695","ARMY NATL GUARD MMR","BOURNE","MA","02532"
"483","01-1996-0052","447","31981","110024293030","1ST BATTALION 25TH MARINES","BOURNE","MA","02532"
"484","01-1996-0054","448","24538","110010625332","LYONS FUEL INC","ARLINGTON","MA","02476"
"485","01-1996-0055","449","28153","110024363856","TODESCA EQUIPMENT CO","READVILLE","MA","02137"
"486","01-1996-0056","450","24048","110000832421","ALUMINUM FINISHING COMPANY INCORPORATED","BRIDGEPORT","CT","066045038"
"488","01-1996-0058","451","15490","110001747708","REGENCY TOWERS CONDOMINIUM ASSN INC","HARTFORD","CT","06105"
"490","01-1996-0060","452","2623","110001952735","EKCO GLACO LTD PARTNERSHIP","WORCESTER","MA","01603"
"491","01-1996-0061","453","39332","110010625378","SOUTH EGREMONT WATER CO","SOUTH EGREMONT","MA","01258"
"492","01-1996-0062","454","37747","110010402135","PALMER WWTP","THREE RIVERS","MA","01080"
"495","01-1996-0065","457","6865","110024357275","US VA MEDICAL CENTER","BOSTON","MA","021304817"
"496","01-1996-0066","458","18832","110000851203","NAVAL UNDERSEA WARFARE CENTER DETACHMENT","NEW LONDON","CT","063205594"
"497","01-1996-0067","459","34202","110009917849","NORTHLAND CRANBERRIES INC","HANSON","MA","02341"
"500","01-1996-0070","461","198","110000310761","GILLETTE MANUFACTURING USA INCORPORATED","BOSTON","MA","021271096"
"501","01-1996-0071","462","22301","110013406661","BOSTON SAND & GRAVEL","BOSTON","MA","02129"
"502","01-1996-0072","463","36757","110010625396","WARREN TOWN OF","W WARREN","MA","01092"
"503","01-1996-0073","464","27080","110001947163","CITY OF FITCHBURG WWTF","FITCHBURG","MA","01420"
"504","01-1996-0074","465","36831","110009919375","UPTON WASTEWATER TREATMENT FACILITY","UPTON","MA","01568"
"505","01-1996-0075","466","10098","110003464420","WORCESTER DEPT OF TRAFFIC ENGINEERING","WORCESTER","MA","01604"
"506","01-1996-0076","467","8217","110003415395","CSX TRANSPORTATION","ALLSTON","MA","02134-1850"
"507","01-1996-0077","468","13058","110063242539","NORTH ATTLEBORO DPW","NORTH ATTLEBORO","MA","02760"
"508","01-1996-0078","469","13058","110063242539","NORTH ATTLEBORO DPW","NORTH ATTLEBORO","MA","02760"
"509","01-1996-0079","470","30946","110010625546","MCI BRIDGEWATER","BRIDGEWATER","MA","02324"
"510","01-1996-0080","471","30946","110010625546","MCI BRIDGEWATER","BRIDGEWATER","MA","02324"
"511","01-1996-0081","472","46178","110006619347","NEWMARKET WATER POLLUTION CONTROL FACILITY","NEWMARKET","NH","03857"
"513","01-1996-0083","473","28074","110009918688","CAMBRIDGE TOWN OF","CAMBRIDGE","MA","02163"
"514","01-1996-0084","474","1047","110010599637","NEWTON CITY OF","NEWTON","MA","02459"
"515","01-1996-0085","475","6665","110007369935","NEEDHAM TOWN HALL","NEEDHAM","MA","02492"
"516","01-1996-0086","476","25088","110010625564","WALTHAM CITY OF","WALTHAM","MA","02452"
"517","01-1996-0087","477","23054","110006618874","MILFORD, TOWN OF","HOPEDALE","MA","01747"
"518","01-1996-0088","478","18740","110024348696","GREENFIELD TOWN OF W P C F","GREENFIELD","MA","01301"
"519","01-1996-0089","479","3894","110000732556","WESTFORD ANODIZING CORPORATION","WESTFORD","MA","01886"
"520","01-1996-0090","480","19193","110001733964","HARTFORD PUBLIC WORKS","HARTFORD","CT","06108"
"521","01-1996-0091","481","8217","110003415395","CSX TRANSPORTATION","ALLSTON","MA","02134-1850"
"522","01-1996-0092","482","14553","110008402068","ARLEX OIL CORP","LEXINGTON","MA","02420"
"523","01-1996-0093","483","40135","110017234599","LEBANON WATER FILTRATION FACILITY","LEBANON","NH","03756"
"524","01-1996-0094","484","12049","110004932351","PAUL BAILEY FORD WAKEFIELD","WAKEFIELD","RI","02879"
"526","01-1996-0096","485","32464","110007310392","LYNNFIELD","LYNNFIELD","MA","019400000"
"527","01-1996-0097","486","32464","110007310392","LYNNFIELD","LYNNFIELD","MA","019400000"
"528","01-1996-0098","487","4882","110000311298","POLAROID CORPORATION","WALTHAM","MA","02454"
