"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","COMP_ACTION_ID","ENVIRONMENTAL_IMPACT_ID","SEP_ID","POLLUTANT_CODE","POLLUTANT_NAME","AVERAGE_ANNUAL_VALUE","POLLUTANT_UNIT_CODE","MEDIA_CODE","MEDIA_DESC","SEP_OR_COMP_FLAG"
"325","01-1995-0019","292","2600801060","53",,"680","BOD","220","lbs","WAT","Water","C"
"331","01-1995-0025","298","2600803533","61",,"3189","PCBS","1320","gal","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"351","01-1995-0045","318","2600802111","81",,"3189","PCBS","1000","lbs","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"412","01-1995-0110","378","2600805244","135",,"261","ACETONE","170000","ppb","GWT","Water (ground)","C"
"724","01-1997-0167","678","2600801711","278",,"3189","PCBS","500","yd3","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"995","01-1999-0002","934","2600801088","425",,"955","CFC (CHLOROFLUOROCARBONS)","175","lbs","AIR","Air","C"
"1152","01-1999-0166","1077","2600802317","511",,"6296","VOCS","23","tons","AIR","Air","C"
"1206","01-2000-0008","45010","2600812326","16128",,"955",,"500","LBS/YR","AIR","Air","C"
"1624","01-2001-0178","1463","2600801391","670",,"2741","NICKEL","277","lbs","WAT","Water","C"
"1624","01-2001-0178","1463","2600801391","673",,"6352","ZINC","145","lbs","WAT","Water","C"
"1632","01-2001-0187","2200000681","2600822050","2200000441",,"6725",,"28000","yd3","SIL","Soil","C"
"1654","01-2002-0016","1483","2600815725","29022",,"7214",,"876","gal","SIL","Soil","C"
"1654","01-2002-0016","1483","2600815725","29025",,"6723",,"876","gal","SIL","Soil","C"
"4764","02-1993-0128","3679","2600802298","765",,"67","1,1,1-TRICHLOROETHANE","13400","lbs","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"4841","02-1993-0213","3752","2600800330","773",,"88","1,1,4 TRICHLOROETHANE","13680","lbs","AIR","Air","C"
"5130","02-1994-0227","3000004285","3000009662","3000006727",,"6725",,"20000","yd3","SIL","Soil","C"
"5283","02-1995-0078","4109","2600802493","826",,"3256","PETROLEUM","10000","gal","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"5300","02-1995-0096","4126","2600800366","834",,"3173","PCB","200","gal","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"5356","02-1995-0156","4183","2600800373","851",,"2787","NITRIC ACID","397408","lbs","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"5360","02-1995-0160","4187","2600800374","856",,"3189","PCBS","76000","kg","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"5365","02-1995-0165","4192","2600800375","860",,"3173","PCB","534","gal","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"5439","02-1995-0240","4264","2600800378","867",,"603","BENZENE","600000","gal","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"5501","02-1995-0305","4324","2600802117","884",,"2448","MERCURY",,"kg","SLG","Sludge Lagoon","C"
"5523","02-1995-0327","4346","2600800069","907",,"6259","TYCOLETHERS","5","lbs","AIR","Air","C"
"5651","02-1996-0047","4466","2600800084","948",,"2566","METHYLENE CHLORIDE","1000","lbs","AIR","Air","C"
"5727","02-1996-0123","4542","2600802917","1004",,"2948","OIL AND GREASE (O & G)","15","ppm","WAT","Water","C"
"6157","02-1997-0248","4957","2600811625","1396",,"4432","USED OIL (TOTAL PETROLEUM HC) (<1000 PPM)","999","ppm","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
