"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","SEP_CATEGORY_CODE","SEP_CATEGORY_DESC","SEP_ID","SEP_TEXT","SEP_AMT"
"208","01-1990-0037","197","PPO","Pollution Prevention","1","WORKPLACE SYSTEMS REPLACED ITS WET PAINT SYSTEM WITH A DRDRY POWDER PAINT SYSTEM THAT ELIMINATES MOST PAINT WASTE.   ",
"208","01-1990-0037","197","PPM","Pollution Prevention/Process-Procedure Modification","1","WORKPLACE SYSTEMS REPLACED ITS WET PAINT SYSTEM WITH A DRDRY POWDER PAINT SYSTEM THAT ELIMINATES MOST PAINT WASTE.   ",
"238","01-1991-0018","219","ERP","Environmental Restoration and Protection","2",,
"259","01-1993-0005","237","PPM","Pollution Prevention/Process-Procedure Modification","3",,
"259","01-1993-0005","237","PPO","Pollution Prevention","3",,
"259","01-1993-0005","237","PRD","Pollution Reduction","3",,
"259","01-1993-0005","237","ETM","Pollution Prevention/Equipment-Technology Modification","3",,
"259","01-1993-0005","237","IPR","Pollution Prevention/In-Process Recycling","3",,
"277","01-1993-0026","248","PPM","Pollution Prevention/Process-Procedure Modification","4",,
"277","01-1993-0026","248","PPO","Pollution Prevention","4",,
"277","01-1993-0026","248","ETM","Pollution Prevention/Equipment-Technology Modification","4",,
"277","01-1993-0026","248","PRR","Pollution Prevention/Product Reformulation/Redesign","4",,
"277","01-1993-0026","248","IPR","Pollution Prevention/In-Process Recycling","4",,
"278","01-1993-0027","249","ETM","Pollution Prevention/Equipment-Technology Modification","5",,
"278","01-1993-0027","249","PPO","Pollution Prevention","5",,
"288","01-1994-0008","260","PBH","Public Health","6",,
"288","01-1994-0008","260","PPO","Pollution Prevention","6",,
"288","01-1994-0008","260","ERP","Environmental Restoration and Protection","6",,
"288","01-1994-0008","260","ETM","Pollution Prevention/Equipment-Technology Modification","6",,
"297","01-1994-0019","265","IHO","Pollution Prevention/Improved Housekeeping/O&M, Training, Inventory Control","7","PFIZER WILL CONDUCT AN ASSESSMENT OF A UNIVERSITY'S       LABORATORIES AND BASED ON THE ASSESSMENT WILL DESIGNTO      IMPROVE COMPLIANCE, IMPLEMENT POLLUTION REDUCTION AND       CHEMICAL CONTROL. PFIZER WILL WORK WITH THE UNIVERSITY TO   IMPLEMENT THESE AND WILL PROVIDE ASSISTANCE TO 2 OTHER      UNIVERSITIES AS WELL. PFIZER WILL ALSO PROVIDE 7 TRAINING   SESSIONS ON ISSUES IN CONNECTICUT.                          ",
"297","01-1994-0019","265","PPO","Pollution Prevention","7","PFIZER WILL CONDUCT AN ASSESSMENT OF A UNIVERSITY'S       LABORATORIES AND BASED ON THE ASSESSMENT WILL DESIGNTO      IMPROVE COMPLIANCE, IMPLEMENT POLLUTION REDUCTION AND       CHEMICAL CONTROL. PFIZER WILL WORK WITH THE UNIVERSITY TO   IMPLEMENT THESE AND WILL PROVIDE ASSISTANCE TO 2 OTHER      UNIVERSITIES AS WELL. PFIZER WILL ALSO PROVIDE 7 TRAINING   SESSIONS ON ISSUES IN CONNECTICUT.                          ",
"297","01-1994-0019","265","PRD","Pollution Reduction","7","PFIZER WILL CONDUCT AN ASSESSMENT OF A UNIVERSITY'S       LABORATORIES AND BASED ON THE ASSESSMENT WILL DESIGNTO      IMPROVE COMPLIANCE, IMPLEMENT POLLUTION REDUCTION AND       CHEMICAL CONTROL. PFIZER WILL WORK WITH THE UNIVERSITY TO   IMPLEMENT THESE AND WILL PROVIDE ASSISTANCE TO 2 OTHER      UNIVERSITIES AS WELL. PFIZER WILL ALSO PROVIDE 7 TRAINING   SESSIONS ON ISSUES IN CONNECTICUT.                          ",
"297","01-1994-0019","265","AAD","Assessments and Audits","7","PFIZER WILL CONDUCT AN ASSESSMENT OF A UNIVERSITY'S       LABORATORIES AND BASED ON THE ASSESSMENT WILL DESIGNTO      IMPROVE COMPLIANCE, IMPLEMENT POLLUTION REDUCTION AND       CHEMICAL CONTROL. PFIZER WILL WORK WITH THE UNIVERSITY TO   IMPLEMENT THESE AND WILL PROVIDE ASSISTANCE TO 2 OTHER      UNIVERSITIES AS WELL. PFIZER WILL ALSO PROVIDE 7 TRAINING   SESSIONS ON ISSUES IN CONNECTICUT.                          ",
"297","01-1994-0019","265","ECP","Environmental Compliance Promotion","7","PFIZER WILL CONDUCT AN ASSESSMENT OF A UNIVERSITY'S       LABORATORIES AND BASED ON THE ASSESSMENT WILL DESIGNTO      IMPROVE COMPLIANCE, IMPLEMENT POLLUTION REDUCTION AND       CHEMICAL CONTROL. PFIZER WILL WORK WITH THE UNIVERSITY TO   IMPLEMENT THESE AND WILL PROVIDE ASSISTANCE TO 2 OTHER      UNIVERSITIES AS WELL. PFIZER WILL ALSO PROVIDE 7 TRAINING   SESSIONS ON ISSUES IN CONNECTICUT.                          ",
"297","01-1994-0019","265","ETM","Pollution Prevention/Equipment-Technology Modification","7","PFIZER WILL CONDUCT AN ASSESSMENT OF A UNIVERSITY'S       LABORATORIES AND BASED ON THE ASSESSMENT WILL DESIGNTO      IMPROVE COMPLIANCE, IMPLEMENT POLLUTION REDUCTION AND       CHEMICAL CONTROL. PFIZER WILL WORK WITH THE UNIVERSITY TO   IMPLEMENT THESE AND WILL PROVIDE ASSISTANCE TO 2 OTHER      UNIVERSITIES AS WELL. PFIZER WILL ALSO PROVIDE 7 TRAINING   SESSIONS ON ISSUES IN CONNECTICUT.                          ",
"307","01-1994-0029","274","IPR","Pollution Prevention/In-Process Recycling","8",,
"307","01-1994-0029","274","PPO","Pollution Prevention","8",,
"307","01-1994-0029","274","ETM","Pollution Prevention/Equipment-Technology Modification","8",,
"307","01-1994-0029","274","PPM","Pollution Prevention/Process-Procedure Modification","8",,
"310","01-1995-0004","277","PPO","Pollution Prevention","9",,
"310","01-1995-0004","277","ERP","Environmental Restoration and Protection","9",,
"310","01-1995-0004","277","ECP","Environmental Compliance Promotion","9",,
"312","01-1995-0006","279","PPO","Pollution Prevention","10",,
"312","01-1995-0006","279","PRD","Pollution Reduction","10",,
"312","01-1995-0006","279","ETM","Pollution Prevention/Equipment-Technology Modification","10",,
"314","01-1995-0008","281","PRD","Pollution Reduction","11",,
"321","01-1995-0015","288","EEC","Pollution Prevention/Energy Efficiency-Conservation","2208","REPLACE ELECTRIC LIGHTS IN PARKING LOT WITH PHOTOVOLTAIC (SOLAR) LIGHTS.","118501"
"321","01-1995-0015","288","EPP","Emergency Planning and Preparedness","2209","PROVIDE TRAINING AND HAZMAT EQUIPMENT TO LOCAL FIRE DEPARTMENT","8885"
"321","01-1995-0015","288","PRD","Pollution Reduction","2210","USE .5% SULFUR FUEL IN BOILER IN LIEU OF 1.0% SULFUR FUEL TO REDUCE SULFUR DIOXIDE EMISSIONS.","42032"
"324","01-1995-0018","291","PRD","Pollution Reduction","12",,
"325","01-1995-0019","292","PRD","Pollution Reduction","13",,
"327","01-1995-0021","294","PRD","Pollution Reduction","14",,
"329","01-1995-0023","296","PPO","Pollution Prevention","15",,
"329","01-1995-0023","296","ETM","Pollution Prevention/Equipment-Technology Modification","15",,
"331","01-1995-0025","298","PPO","Pollution Prevention","16",,
"332","01-1995-0026","299","PPM","Pollution Prevention/Process-Procedure Modification","17",,
"332","01-1995-0026","299","PPO","Pollution Prevention","17",,
"335","01-1995-0029","302","PPO","Pollution Prevention","18","USE OF LOWER SULFUR CONTENT FUEL IN BOILERS.              ",
"335","01-1995-0029","302","PRD","Pollution Reduction","18","USE OF LOWER SULFUR CONTENT FUEL IN BOILERS.              ",
"335","01-1995-0029","302","ETM","Pollution Prevention/Equipment-Technology Modification","18","USE OF LOWER SULFUR CONTENT FUEL IN BOILERS.              ",
"335","01-1995-0029","302","RMS","Pollution Prevention/Raw Materials Substitution","18","USE OF LOWER SULFUR CONTENT FUEL IN BOILERS.              ",
"340","01-1995-0034","307","PPM","Pollution Prevention/Process-Procedure Modification","19",,
"340","01-1995-0034","307","PPO","Pollution Prevention","19",,
"340","01-1995-0034","307","AAD","Assessments and Audits","19",,
"342","01-1995-0036","309","AAD","Assessments and Audits","20","DEVELOP AUTOMATED MATERIALS SCREENING SYSTEM FOR ALL        CHEMICALS; IMPLEMENT PROTOCOLS THAT WILL ACHIEVE P2 AND     TOXIC USE REDUCTION                                         ","260750"
"346","01-1995-0040","313","PRR","Pollution Prevention/Product Reformulation/Redesign","21",,
"346","01-1995-0040","313","PPO","Pollution Prevention","21",,
"346","01-1995-0040","313","ETM","Pollution Prevention/Equipment-Technology Modification","21",,
"346","01-1995-0040","313","PPM","Pollution Prevention/Process-Procedure Modification","21",,
"346","01-1995-0040","313","IPR","Pollution Prevention/In-Process Recycling","21",,
"347","01-1995-0041","314","PPO","Pollution Prevention","22",,
"347","01-1995-0041","314","ETM","Pollution Prevention/Equipment-Technology Modification","22",,
"349","01-1995-0043","316","ETM","Pollution Prevention/Equipment-Technology Modification","23",,
"349","01-1995-0043","316","PPO","Pollution Prevention","23",,
"349","01-1995-0043","316","PRD","Pollution Reduction","23",,
"356","01-1995-0050","323","PPO","Pollution Prevention","24","INSTALL AND USE 508 ANTIFREEZE RECYCLING MACHINES IN SHOPSNATIONWIDE.                                                 ",
"356","01-1995-0050","323","PRD","Pollution Reduction","24","INSTALL AND USE 508 ANTIFREEZE RECYCLING MACHINES IN SHOPSNATIONWIDE.                                                 ",
"356","01-1995-0050","323","ETM","Pollution Prevention/Equipment-Technology Modification","24","INSTALL AND USE 508 ANTIFREEZE RECYCLING MACHINES IN SHOPSNATIONWIDE.                                                 ",
"356","01-1995-0050","323","IPR","Pollution Prevention/In-Process Recycling","24","INSTALL AND USE 508 ANTIFREEZE RECYCLING MACHINES IN SHOPSNATIONWIDE.                                                 ",
"359","01-1995-0053","326","ETM","Pollution Prevention/Equipment-Technology Modification","25",,
"359","01-1995-0053","326","PPO","Pollution Prevention","25",,
"362","01-1995-0056","329","PBH","Public Health","26",,
"362","01-1995-0056","329","PPO","Pollution Prevention","26",,
"362","01-1995-0056","329","ECP","Environmental Compliance Promotion","26",,
"362","01-1995-0056","329","PPM","Pollution Prevention/Process-Procedure Modification","26",,
"365","01-1995-0059","332","EPP","Emergency Planning and Preparedness","27",,
"366","01-1995-0060","333","EPP","Emergency Planning and Preparedness","28",,
"371","01-1995-0066","337","PRD","Pollution Reduction","29","REMOVAL AND DISPOSAL OF 4 PCB TRANSFORMERS.                 ",
"378","01-1995-0073","344","PRD","Pollution Reduction","30",,
"378","01-1995-0073","344","AAD","Assessments and Audits","30",,
"387","01-1995-0083","353","ECP","Environmental Compliance Promotion","31",,
"396","01-1995-0093","362","PPO","Pollution Prevention","32",,
"396","01-1995-0093","362","RMS","Pollution Prevention/Raw Materials Substitution","32",,
