"ACTIVITY_ID","CASE_NUMBER","ENF_TYPE_CODE","ENF_TYPE_DESC"
"332","01-1995-0026","113A","CAA 113A Admin Compliance Order (Non-Penalty)"
"333","01-1995-0027","6","TSCA 6 AO For Hazardous Chemicals"
"334","01-1995-0028","6","TSCA 6 AO For Hazardous Chemicals"
"335","01-1995-0029","6","TSCA 6 AO For Hazardous Chemicals"
"336","01-1995-0030","6","TSCA 6 AO For Hazardous Chemicals"
"337","01-1995-0031","3008A","RCRA 3008A AO For Comp And/Or Penalty"
"338","01-1995-0032","325","EPCRA 325 Action For Penalty"
"339","01-1995-0033","325","EPCRA 325 Action For Penalty"
"340","01-1995-0034","3008A","RCRA 3008A AO For Comp And/Or Penalty"
"341","01-1995-0035","325","EPCRA 325 Action For Penalty"
"342","01-1995-0036","325","EPCRA 325 Action For Penalty"
"343","01-1995-0037","3008A","RCRA 3008A AO For Comp And/Or Penalty"
"344","01-1995-0038","325","EPCRA 325 Action For Penalty"
"345","01-1995-0039","1414G3","SDWA 1414G3 AO For Penalties (PWS)"
"346","01-1995-0040","309G2B","CWA 309G2B AO For Class II Penalties"
"347","01-1995-0041","309G2A","CWA 309G2A AO For Class I Penalties"
"348","01-1995-0042","309G2B","CWA 309G2B AO For Class II Penalties"
"349","01-1995-0043","6","TSCA 6 AO For Hazardous Chemicals"
"350","01-1995-0044","16","TSCA 16 Action For Penalty"
"351","01-1995-0045","16","TSCA 16 Action For Penalty"
"352","01-1995-0046","16","TSCA 16 Action For Penalty"
"353","01-1995-0047","113A","CAA 113A Admin Compliance Order (Non-Penalty)"
"354","01-1995-0048","113A","CAA 113A Admin Compliance Order (Non-Penalty)"
"355","01-1995-0049","113A","CAA 113A Admin Compliance Order (Non-Penalty)"
"356","01-1995-0050","113A","CAA 113A Admin Compliance Order (Non-Penalty)"
"357","01-1995-0051","309G2A","CWA 309G2A AO For Class I Penalties"
"358","01-1995-0052","113A","CAA 113A Admin Compliance Order (Non-Penalty)"
"359","01-1995-0053","325","EPCRA 325 Action For Penalty"
"360","01-1995-0054","325","EPCRA 325 Action For Penalty"
