"ACTIVITY_ID","CASE_NUMBER","FED_PENALTY","ST_LCL_PENALTY","TOTAL_SEP","COMPLIANCE_ACTION_COST","FEDERAL_COST_RECOVERY_AMT","STATE_LOCAL_COST_RECOVERY_AMT","PENALTY_COLLECTED_AMT"
"1942","02-1985-0040","0","0","0","0",,,"0"
"4947","02-1994-0033","4720","0","0","0",,,"0"
"4948","02-1994-0034","7000","0","0","0",,,"0"
"109","01-1986-0006","197000","0","0","0",,,"0"
"112","01-1986-0010","175000","0","0","0",,,"0"
"113","01-1986-0011","31590","0","0","0",,,"0"
"229","01-1991-0008","40000","0","0","0",,,"0"
"540","01-1996-0110","34118","0","0","0",,,"0"
"3867","02-1990-0134","117725","0","0","0",,,"0"
"3869","02-1990-0136","12500","0","0","0",,,"0"
"1004","01-1999-0013","700","0","0","0",,,"0"
"1019","01-1999-0028","300","0","0","1000",,,"0"
"3920","02-1990-0195","5000","0","0","0",,,"0"
"3924","02-1990-0199","1375","0","0","0",,,"0"
"3932","02-1990-0207","21600","0","0","0",,,"0"
"4322","02-1991-0335","12500","0","0","0",,,"0"
"4337","02-1991-0351","5000","0","0","0",,,"0"
"1954","02-1985-0053","12000","0","0","0",,,"0"
"1000008381","02-2008-7978","500","0","0","0",,,"0"
"2683","02-1987-0519","200000","0","0","0",,,"0"
"557","01-1996-0129","0","0","0","0",,,"0"
"564","01-1997-0005","0","0","0","6000",,,"0"
"567","01-1997-0008","50000","0","0","66000",,,"0"
"851","01-1998-0041","0","0","0","0",,,"0"
"853","01-1998-0043","10500","0","0","4000",,,"0"
"854","01-1998-0044","17500","0","0","4000",,,"0"
"2670","02-1987-0496","950","0","0","0",,,"0"
"4350","02-1991-0369","4500","0","0","0",,,"0"
"4356","02-1992-0003","0","0","0","0",,,"0"
"4363","02-1992-0010","29425","0","0","0",,,"0"
"2249","02-1986-0332","750","0","0","0",,,"0"
"2253","02-1986-0336","0","0","0","0",,,"0"
"2286","02-1986-0379","3000","0","0","0",,,"0"
"2366","02-1987-0046","1200","0","0","0",,,"0"
"2373","02-1987-0053","11400","0","0","0",,,"0"
"3084","02-1988-0543","685000","0","0","0",,,"0"
"2888","02-1988-0218","2000","0","0","0",,,"0"
"2894","02-1988-0224","5000","0","0","0",,,"0"
"1857","02-1982-0048","20000","0","0","0",,,"0"
"1935","02-1985-0032","25000","0","0","0",,,"0"
"291","01-1994-0011","0","0","0","0","142500","807500","0"
"298","01-1994-0020","0","0","0","0",,,"0"
"243","01-1991-0024","0","0","0","19400000",,,"0"
"250","01-1992-0006","202000","188000","0","0",,,"0"
"1276","01-2000-0080","0","0","0","193",,,"0"
"1281","01-2000-0085","0","0","0","193",,,"0"
"1285","01-2000-0089","0","0","0","193",,,"0"
"1297","01-2000-0102","0","0","0","193",,,"0"
"1299","01-2000-0104","0","0","0","193",,,"0"
"1300","01-2000-0105","0","0","0","193",,,"0"
"278","01-1993-0027","40000","0","0","0",,,"0"
"290","01-1994-0010","210000","0","0","70000",,,"0"
"1789","02-1978-0022","0","0","0","0",,,"0"
"3951","02-1990-0226","22125","0","0","0",,,"0"
"3955","02-1990-0230","67321","0","0","0",,,"0"
"3956","02-1990-0231","41607","0","0","0",,,"0"
"3962","02-1990-0237","2500","0","0","0",,,"0"
"1337","01-2000-0142","0","0","0","193",,,"0"
"1355","01-2000-0169","650","0","0","0",,,"0"
"2348","02-1987-0028","2000","0","0","0",,,"0"
"1738","02-1975-0002","2000","0","0","0",,,"0"
"1471","01-2001-0013","0","0","0","0","2608516","521261","0"
"2697","02-1987-0551","5848","0","0","0",,,"0"
"2702","02-1987-0556","1575","0","0","0",,,"0"
"2715","02-1987-0584","22291","0","0","0",,,"0"
"2731","02-1987-0637","85000","0","0","0",,,"0"
"2745","02-1987-0660","22500","0","0","0",,,"0"
"1374","01-2000-0188","0","0","0","0",,,"0"
"1389","01-2000-0203","56775","0","0","81000",,,"0"
"1397","01-2000-0213","16283","0","0","0",,,"0"
"1401","01-2000-0217","300","0","0","0",,,"0"
"1402","01-2000-0218","0","0","0","0",,,"0"
"1405","01-2000-0221","300","0","0","0",,,"0"
"202","01-1990-0023","200000","0","0","0",,,"0"
"207","01-1990-0034","0","0","0","0",,,"0"
"1000002369","06-2008-1901","0","0","0","4000",,,"0"
"1000007774","05-2008-0085","0","0","0","0",,,"0"
"3220","02-1988-0691","27350","0","0","0",,,"0"
"600045783","04-2007-2723","3080","0","0","88",,,"3080"
"1000008317","01-2008-9026","0","0","0","20000",,,"0"
"1831","02-1981-0004","5000","0","0","0",,,"0"
"1832","02-1981-0005","7500","0","0","0",,,"0"
"4237","02-1991-0246","0","0","0","0",,,"0"
"697","01-1997-0139","0","0","0","0",,,"0"
"4796","02-1993-0165","1","0","0","0",,,"0"
"4805","02-1993-0176","250","0","0","0",,,"0"
"4839","02-1993-0211","130000","0","0","0",,,"0"
"4951","02-1994-0037","5000","0","0","0",,,"0"
"4957","02-1994-0045","2000","0","0","0",,,"0"
"1893","02-1984-0010","0","0","0","0",,,"0"
"3518","02-1989-0213","5500","0","0","0",,,"0"
"3526","02-1989-0221","6000","0","0","0",,,"0"
"3530","02-1989-0227","7000","0","0","0",,,"0"
"4250","02-1991-0260","1000","0","0","0",,,"0"
"4264","02-1991-0274","1000","0","0","0",,,"0"
"93","01-1985-0006","250000","0","0","0",,,"0"
"7287","02-2000-1009","0","0","0","0",,,"0"
"7292","02-2000-1018","0","0","0","0",,,"0"
"1879","02-1983-0014","28000","0","0","0",,,"0"
"1239","01-2000-0041","328274","0","1142114","2906150",,,"0"
"242","01-1991-0023","19450","0","0","0",,,"0"
"169","01-1989-0005","0","0","0","0",,,"0"
"4025","02-1991-0005","200000","0","0","35000000",,,"0"
"725","01-1997-0168","2500","0","0","0",,,"0"
"726","01-1997-0169","0","0","0","8000000",,,"0"
"95","01-1985-0008","140000","0","0","0",,,"0"
"1768","02-1977-0016","812533","0","0","0",,,"0"
"1771","02-1978-0003","200400","0","0","0",,,"0"
"1837","02-1981-0010","22500","0","0","0",,,"0"
"1779","02-1978-0012","0","0","0","20000000",,,"0"
"1250","01-2000-0053","0","0","0","0",,,"0"
"2235","02-1986-0318","7750","0","0","0",,,"0"
"2607","02-1987-0421","9750","0","0","0",,,"0"
"2608","02-1987-0422","13000","0","0","0",,,"0"
"2615","02-1987-0429","4695","0","0","0",,,"0"
"2622","02-1987-0437","3600","0","0","0",,,"0"
"2623","02-1987-0438","4000","0","0","0",,,"0"
"485","01-1996-0055","4800","0","0","0",,,"0"
"486","01-1996-0056","9488","0","34300","0",,,"0"
"507","01-1996-0077","0","0","0","0",,,"0"
"513","01-1996-0083","0","0","0","0",,,"0"
"518","01-1996-0088","0","0","0","0",,,"0"
"524","01-1996-0094","0","0","0","0",,,"0"
"6071","02-1997-0158","0","0","0","300",,,"0"
"796","01-1997-0244","0","0","0","0","880000","220000","0"
"801","01-1997-0249","600","0","0","1000",,,"0"
"804","01-1997-0252","0","0","0","0",,,"0"
"805","01-1997-0253","3040","0","0","30000",,,"0"
"1780","02-1978-0013","5000","0","0","0",,,"0"
"217","01-1990-0049","0","0","0","0",,,"0"
"4840","02-1993-0212","11900","0","0","0",,,"0"
"4745","02-1993-0108","500000","0","0","70000",,,"0"
"4749","02-1993-0113","5215","0","0","0",,,"0"
"4761","02-1993-0125","24000","0","0","0",,,"0"
"2634","02-1987-0454","1200","0","0","0",,,"0"
"2635","02-1987-0455","500","0","0","0",,,"0"
"2653","02-1987-0479","8500","0","0","0",,,"0"
"3227","02-1988-0698","500","0","0","0",,,"0"
"7133","02-1999-7507","891","0","0","15000",,,"0"
"6585","02-1998-0235","0","0","0","800000",,,"0"
"6588","02-1998-0238","0","0","0","800000",,,"0"
"6589","02-1998-0239","5000","0","0","0",,,"0"
"6414","02-1998-0058","0","0","0","10000",,,"0"
"6608","02-1998-0258","0","0","0","4600000",,,"0"
"4733","02-1993-0094","1000","0","0","0",,,"0"
"4738","02-1993-0099","15000","0","0","0",,,"0"
"2212","02-1986-0291","7500","0","0","0",,,"0"
"2216","02-1986-0295","2250","0","0","0",,,"0"
"2229","02-1986-0308","3000","0","0","0",,,"0"
"2520","02-1987-0279","75000","0","0","0",,,"0"
"2895","02-1988-0225","19925","0","0","0",,,"0"
"4421","02-1992-0070","3375","0","0","0",,,"0"
"4423","02-1992-0072","2250","0","0","0",,,"0"
"4876","02-1993-0250","18142","0","0","0",,,"0"
"4904","02-1993-0279","0","0","0","0",,,"0"
"3657","02-1989-0364","0","0","0","0",,,"0"
"4305","02-1991-0318","36000","0","0","0",,,"0"
"4312","02-1991-0325","45000","0","0","0",,,"0"
"4315","02-1991-0328","11000","0","0","0",,,"0"
"4171","02-1991-0179","563700","0","0","0",,,"0"
"635","01-1997-0077","0","0","0","0",,,"0"
"668","01-1997-0110","1000","0","0","250",,,"0"
"676","01-1997-0118","10000","0","0","8000",,,"0"
"679","01-1997-0121","0","0","0","0",,,"0"
"820","01-1998-0010","900","0","0","0",,,"0"
"836","01-1998-0026","300","0","0","0",,,"0"
"837","01-1998-0027","1000","0","0","1000",,,"0"
"1886","02-1984-0002","45000","0","0","0",,,"0"
"7305","02-2000-1033","0","0","0","0",,,"0"
"7314","02-2000-1047","0","0","0","0",,,"0"
"1804","02-1979-0010","0","0","0","0",,,"0"
"1927","02-1985-0024","13480","0","0","0",,,"0"
"1416","01-2000-0232","0","0","0","0",,,"0"
"1419","01-2000-0235","0","0","0","0",,,"0"
"1436","01-2000-0254","1000","0","0","0",,,"0"
"1775","02-1978-0008","0","0","0","0",,,"0"
"1777","02-1978-0010","10000","0","0","0",,,"0"
"862","01-1998-0053","0","0","0","5000",,,"0"
"867","01-1998-0058","0","0","0","0",,,"0"
"2938","02-1988-0270","0","0","0","0",,,"0"
"2972","02-1988-0328","1","0","0","0",,,"0"
"1814","02-1979-0020","375000","0","0","20000000",,,"0"
"309","01-1995-0003","45092","0","0","9000",,,"0"
"313","01-1995-0007","35000","0","0","0",,,"0"
"3078","02-1988-0537","6350000","0","0","0",,,"0"
"3080","02-1988-0539","10250","0","0","0",,,"0"
"3511","02-1989-0206","10200","0","0","0",,,"0"
"3109","02-1988-0572","14175","0","0","0",,,"0"
"652","01-1997-0094","600","0","0","1000",,,"0"
"664","01-1997-0106","33938","0","0","15000",,,"0"
"3824","02-1990-0084","11500","0","0","0",,,"0"
"3859","02-1990-0126","0","0","0","0",,,"0"
"2996","02-1988-0374","4780","0","0","0",,,"0"
"4012","02-1990-0398","0","0","0","0",,,"0"
"4019","02-1990-0405","400000","0","0","0",,,"0"
"4023","02-1991-0003","50000","0","0","0",,,"0"
"348","01-1995-0042","0","0","0","50000",,,"0"
"350","01-1995-0044","24000","0","0","500000",,,"0"
"4578","02-1992-0229","65000","0","0","0",,,"0"
"1742","02-1976-0002","15000","0","0","0",,,"0"
"1747","02-1976-0007","5000","0","0","0",,,"0"
"1753","02-1977-0001","30000","0","0","0",,,"0"
"4584","02-1992-0236","12000","0","0","0",,,"0"
"4602","02-1992-0254","14400","0","0","0",,,"0"
"4028","02-1991-0008","2500","0","0","0",,,"0"
"3896","02-1990-0170","2000","0","0","0",,,"0"
"619","01-1997-0061","10000","0","0","1675000",,,"0"
"1939","02-1985-0037","110000","0","0","0",,,"0"
"177","01-1989-0014","98000","0","0","0",,,"0"
"3319","02-1988-0792","7000","0","0","0",,,"0"
"3327","02-1988-0800","14450","0","0","0",,,"0"
"3345","02-1988-0818","2340","0","0","0",,,"0"
"4409","02-1992-0058","21000","0","0","0",,,"0"
"18693","03-1999-0353","3300","0","0","0",,,"0"
"8236","02-2001-0854","0","0","0","0",,,"0"
"8241","02-2001-0907","0","0","0","12000",,,"0"
"8244","02-2001-1008","0","0","0","0",,,"0"
"6193","02-1997-0289","0","0","0","0",,,"0"
"6196","02-1997-0292","0","0","0","142475",,,"0"
"6367","02-1998-0010","0","0","0","0",,,"0"
"5725","02-1996-0121","0","0","0","0",,,"0"
"5729","02-1996-0125","0","0","0","500",,,"0"
"5157","02-1994-0255","27000","0","0","0",,,"0"
"1101","01-1999-0112","0","0","0","0",,,"0"
"1102","01-1999-0113","0","0","0","0",,,"0"
"1225","01-2000-0027","500","0","0","0",,,"0"
"2565","02-1987-0356","7818","0","0","0",,,"0"
"2568","02-1987-0361","1600","0","0","0",,,"0"
"2570","02-1987-0363","0","0","0","0",,,"0"
"3606","02-1989-0312","500","0","0","0",,,"0"
"3611","02-1989-0317","0","0","0","0",,,"0"
"16095","03-1993-0077","70000","0","0","0",,,"0"
"16110","03-1993-0092","0","0","0","0",,,"0"
"4829","02-1993-0201","2700","0","0","0",,,"0"
"4436","02-1992-0085","15000","0","0","0",,,"0"
"4439","02-1992-0088","43500","0","0","0",,,"0"
"4441","02-1992-0090","180000","0","0","0",,,"0"
"4443","02-1992-0092","175000","0","0","0",,,"0"
"4726","02-1993-0087","1000","0","0","0",,,"0"
"2082","02-1986-0108","15000","0","0","0",,,"0"
"1121","01-1999-0135","46125","0","0","0",,,"0"
"1127","01-1999-0141","960","0","0","0",,,"0"
"1129","01-1999-0143","330","0","0","0",,,"0"
"1136","01-1999-0150","26863","0","0","0",,,"0"
"1137","01-1999-0151","2250","0","0","0",,,"0"
"1259","01-2000-0062","0","0","0","193",,,"0"
"4641","02-1993-0001","94999","0","0","0",,,"0"
"4648","02-1993-0008","50000","0","0","0",,,"0"
"4652","02-1993-0012","16250","0","0","0",,,"0"
"4659","02-1993-0019","30000","0","0","0",,,"0"
"4660","02-1993-0020","14250","0","0","0",,,"0"
"949","01-1998-0142","1000","0","0","0",,,"0"
"2081","02-1986-0106","22000","0","0","0",,,"0"
"2113","02-1986-0168","880","0","0","0",,,"0"
"2114","02-1986-0169","500","0","0","0",,,"0"
"2198","02-1986-0277","15000","0","0","0",,,"0"
"2306","02-1986-0404","1000","0","0","0",,,"0"
"3429","02-1989-0099","7000","0","0","0",,,"0"
"3430","02-1989-0100","3400","0","0","0",,,"0"
"3305","02-1988-0778","5000","0","0","0",,,"0"
"997","01-1999-0004","0","0","0","24000",,,"0"
"8229","02-2001-0847","0","0","0","0",,,"0"
"8848","02-2002-7911","300","0","0","5000",,,"0"
"8851","02-2002-7914","4800","0","0","27886",,,"0"
"21690","04-1996-0268","0","0","0","0",,,"0"
"21692","04-1996-0279","0","0","0","0",,,"0"
"16944","03-1995-0082","0","0","0","0",,,"0"
"16970","03-1995-0120","0","0","0","0",,,"0"
"16974","03-1995-0124","834","0","0","0",,,"0"
"13590","03-1989-0754","70000","0","0","0",,,"0"
"17005","03-1995-0157","8000","0","0","0",,,"0"
"15435","03-1991-0321","1150000","0","0","0",,,"0"
"20218","04-1985-0003","1500","0","0","0",,,"0"
"18247","03-1998-0338","1000","0","0","0",,,"0"
"14443","03-1989-1611","2500","0","0","0",,,"0"
"14451","03-1989-1619","17000","0","0","0",,,"0"
"16525","03-1994-0012","1870","0","0","0",,,"0"
"16526","03-1994-0013","5000","0","0","0",,,"0"
"16531","03-1994-0018","4600","0","0","3700",,,"0"
"21695","04-1996-0294","0","0","0","1",,,"0"
"21717","04-1996-0339","0","0","0","0",,,"0"
"21720","04-1996-0342","0","0","0","0",,,"0"
"8045","02-2000-8454","0","0","0","800",,,"0"
"8049","02-2000-8458","0","0","0","800",,,"0"
"4102","02-1991-0110","5950","0","0","0",,,"0"
"4106","02-1991-0114","16250","0","0","0",,,"0"
"4110","02-1991-0118","21050","0","0","0",,,"0"
"4468","02-1992-0117","1000","0","0","0",,,"0"
"4469","02-1992-0118","1000","0","0","0",,,"0"
"385","01-1995-0081","25000","0","0","0",,,"0"
"386","01-1995-0082","30000","0","0","0",,,"0"
"237","01-1991-0017","68250","0","0","0",,,"0"
"238","01-1991-0018","50000","0","0","1500000",,,"0"
"185","01-1989-0023","120000","0","0","0",,,"0"
"15489","03-1991-0376","0","0","0","0",,,"0"
"1919","02-1985-0016","80000","0","0","0",,,"0"
"7561","02-2000-7110","23953","0","0","0",,,"0"
"5527","02-1995-0331","0","0","0","10000005",,,"0"
"2393","02-1987-0078","22110","0","0","0",,,"0"
"2404","02-1987-0118","1800","0","0","0",,,"0"
"2407","02-1987-0122","1000","0","0","0",,,"0"
"2421","02-1987-0145","25000","0","0","0",,,"0"
"2423","02-1987-0147","30000","0","0","0",,,"0"
"2426","02-1987-0150","11500","0","0","0",,,"0"
"579","01-1997-0020","50500","0","0","24503",,,"0"
"581","01-1997-0022","5000","0","0","0",,,"0"
"585","01-1997-0026","300","0","0","0",,,"0"
"594","01-1997-0035","0","0","0","0",,,"0"
"601","01-1997-0043","0","0","0","0",,,"0"
"10738","03-1986-0573","1680","0","0","0",,,"0"
"10740","03-1986-0575","1000","0","0","0",,,"0"
"5986","02-1997-0073","0","0","0","800000",,,"0"
"4546","02-1992-0196","0","0","0","0",,,"0"
"4548","02-1992-0199","28000","0","0","0",,,"0"
"9849","03-1985-0053","0","0","0","0",,,"0"
"47","01-1982-0012","0","0","0","0",,,"0"
"4119","02-1991-0127","13000","0","0","0",,,"0"
"4120","02-1991-0128","19200","0","0","0",,,"0"
"4121","02-1991-0129","92000","0","0","0",,,"0"
"4127","02-1991-0135","15000","0","0","0",,,"0"
"4130","02-1991-0138","48000","0","0","0",,,"0"
"4131","02-1991-0139","5000","0","0","0",,,"0"
"4149","02-1991-0157","0","0","0","0",,,"0"
"1143","01-1999-0157","0","0","0","0",,,"0"
"1146","01-1999-0160","2240","0","0","0",,,"0"
"2202","02-1986-0281","10000","0","0","0",,,"0"
"3158","02-1988-0625","1700","0","0","0",,,"0"
"4819","02-1993-0190","0","0","0","19800000",,,"0"
"600021807","01-2007-5000","31724","0","148771","0",,,"0"
"879","01-1998-0070","16296","0","0","2000",,,"0"
"887","01-1998-0079","0","0","0","5000",,,"0"
"146","01-1988-0008","0","0","0","0",,,"0"
"2433","02-1987-0157","3000","0","0","0",,,"0"
"2680","02-1987-0516","0","0","0","0",,,"0"
"2454","02-1987-0188","950","0","0","0",,,"0"
"3242","02-1988-0713","8000","0","0","0",,,"0"
"3244","02-1988-0715","22000","0","0","0",,,"0"
"3245","02-1988-0716","18000","0","0","0",,,"0"
"3246","02-1988-0717","21000","0","0","0",,,"0"
"3248","02-1988-0719","10170","0","0","0",,,"0"
"3255","02-1988-0728","6600","0","0","0",,,"0"
"3256","02-1988-0729","1825","0","0","0",,,"0"
"3263","02-1988-0736","5300","0","0","0",,,"0"
"4481","02-1992-0130","1000","0","0","0",,,"0"
"901","01-1998-0093","0","0","0","0",,,"0"
"905","01-1998-0097","950","0","0","1000",,,"0"
"748","01-1997-0194","24750","0","0","20000",,,"0"
"755","01-1997-0201","230710","0","0","0",,,"0"
"3010","02-1988-0389","40000","0","0","0",,,"0"
"4525","02-1992-0174","0","0","0","0",,,"0"
"2461","02-1987-0195","2400","0","0","0",,,"0"
"3437","02-1989-0107","17850","0","0","0",,,"0"
"3440","02-1989-0110","8500","0","0","0",,,"0"
"3446","02-1989-0117","1000","0","0","0",,,"0"
"3457","02-1989-0128","10000","0","0","0",,,"0"
"4538","02-1992-0188","2500","0","0","0",,,"0"
"1000007574","02-2008-7977","450","0","0","1000",,,"0"
"1042","01-1999-0053","0","0","0","0",,,"0"
"1050","01-1999-0061","13867","0","0","0",,,"0"
"3030","02-1988-0451","4300","0","0","0",,,"0"
"3043","02-1988-0479","19594","0","0","0",,,"0"
"4046","02-1991-0026","52500","0","0","0",,,"0"
"3538","02-1989-0235","0","0","0","0",,,"0"
