"ACTIVITY_ID","CASE_NUMBER","PRIORITY_CODE","PRIORITY_DESC","FISCAL_YEAR"
"88","01-1984-0021","710","Wet Weather - Combined Sewer Overflow (CSO)","2006"
"1395","01-2000-0210","15","CAA Air Toxics and NSR/PSD - NSR","2001"
"1627","01-2001-0181","6","Wet Weather - Sanitary Sewer Overflow (SSO)","2001"
"86606","01-2002-0140","84","Municipalities","2003"
"86360","01-2002-0141","84","Municipalities","2003"
"86431","01-2002-0145","84","Municipalities","2003"
"86462","01-2002-0146","84","Municipalities","2003"
"86464","01-2002-0147","84","Municipalities","2003"
"86465","01-2002-0148","84","Municipalities","2003"
"86472","01-2002-0150","80","Colleges & Universities","2003"
"86472","01-2002-0150","176","RCRA - Permit Evaders (RCRPE)","2002"
"86472","01-2002-0150","177","RCRA - Misidentified Wastes (RMISWT)","2002"
"86472","01-2002-0150","283","Colleges & Universities","2004"
"86475","01-2002-0152","84","Municipalities","2003"
"86793","01-2002-0164","4","Wet Weather - Stormwater, Construction","2001"
"86888","01-2002-0168","81","Metal Finishers","2003"
"87030","01-2002-0172","1","Wet Weather - Combined Sewer Overflow (CSO)","2001"
"87030","01-2002-0172","167","Wet Weather - Combined Sewer Overflow (CSO)","2002"
"87030","01-2002-0172","1449","WW - CSOs < 50K serv. pop'n.","2012"
"87030","01-2002-0172","1576","WW - CSOs < 50K serv. pop'n.","2013"
"87035","01-2002-0173","710","Wet Weather - Combined Sewer Overflow (CSO)","2006"
"87492","01-2002-0194","1","Wet Weather - Combined Sewer Overflow (CSO)","2001"
"88496","01-2002-0227","169","Wet Weather - Stormwater (STORM)","2002"
"3400231245","01-2002-9595","167","Wet Weather - Combined Sewer Overflow (CSO)","2002"
"93195","01-2003-0041","176","RCRA - Permit Evaders (RCRPE)","2002"
"93195","01-2003-0041","177","RCRA - Misidentified Wastes (RMISWT)","2002"
"93195","01-2003-0041","283","Colleges & Universities","2004"
"95715","01-2003-0050","176","RCRA - Permit Evaders (RCRPE)","2002"
"95715","01-2003-0050","284","Metal Finishers","2004"
"98058","01-2003-0064","1","Wet Weather - Combined Sewer Overflow (CSO)","2001"
"100070","01-2003-0071","1","Wet Weather - Combined Sewer Overflow (CSO)","2001"
"104787","01-2003-0127","838","Wet Weather - Combined Sewer Overflow (CSO)","2007"
"105000","01-2003-0141","15","CAA Air Toxics and NSR/PSD - NSR","2001"
"105048","01-2003-0144","176","RCRA - Permit Evaders (RCRPE)","2002"
"105048","01-2003-0144","177","RCRA - Misidentified Wastes (RMISWT)","2002"
"105055","01-2003-0146","84","Municipalities","2003"
"105055","01-2003-0146","287","Municipalities","2004"
"105479","01-2003-0163","710","Wet Weather - Combined Sewer Overflow (CSO)","2006"
"106136","01-2003-0179","176","RCRA - Permit Evaders (RCRPE)","2002"
"106215","01-2003-0181","585","Wet Weather - Combined Sewer Overflow (CSO)","2005"
"106448","01-2003-0184","181","Wet Weather - Combined Sewer Overflow (CSO)","2003"
"106482","01-2003-0187","169","Wet Weather - Stormwater (STORM)","2002"
"106482","01-2003-0187","990","WW - SW Top 6 Big Box Store Construction","2008"
"104240","01-2003-7000","86","Lead","2003"
"96301","01-2003-8104","169","Wet Weather - Stormwater (STORM)","2002"
"110968","01-2004-1011","15","CAA Air Toxics and NSR/PSD - NSR","2001"
"126456","01-2004-1017","15","CAA Air Toxics and NSR/PSD - NSR","2001"
"126456","01-2004-1017","577","Air Toxics","2005"
"126856","01-2004-1056","3","Wet Weather - Stormwater, Municipal","2001"
"108585","01-2004-2008","1","Wet Weather - Combined Sewer Overflow (CSO)","2001"
"108588","01-2004-2010","4","Wet Weather - Stormwater, Construction","2001"
