"ACTIVITY_ID","CASE_NUMBER","REGIONAL_DOCKET_NMBR"
"6133","02-1997-0223","EPA-CWA-II-97-82"
"6134","02-1997-0224","EPA-CWA-II-97-83"
"6135","02-1997-0225","EPA-CWA-II-97-84"
"9230","03-1981-0257","III-85-43-VR"
"9231","03-1981-0258","III-85-44-VR"
"5988","02-1997-0075","97-02-PWS-PR-AO-059A"
"5993","02-1997-0080","EPA-CWA-II-97-24"
"5996","02-1997-0083","EPA-CWA-II-97-66"
"4378","02-1992-0025","92-0110"
"58039","HQ-2001-0539","6033"
"10639","03-1986-0474","III-120-C"
"10640","03-1986-0475","III-121-C"
"10647","03-1986-0482","III-127-C"
"10648","03-1986-0483","III-128-C"
"10649","03-1986-0484","III-129-C"
"10650","03-1986-0485","III-130-C"
"10651","03-1986-0486","III-131-C"
"10652","03-1986-0487","III-132-C"
"10653","03-1986-0488","III-133-C"
"10654","03-1986-0489","III-134-C"
"10655","03-1986-0490","III-135-C"
"10656","03-1986-0491","III-136-C"
"10657","03-1986-0492","III-137-C"
"7138","02-1999-7901","II-UST-FC-381"
"7139","02-1999-7902","II-UST-FC-338"
"7140","02-1999-7903","II-UST-FC-309"
"7141","02-1999-7904","II-UST-FC-340"
"7142","02-1999-7905","II-UST-FC-310"
"7144","02-1999-7907","II-UST-FC-322"
"7145","02-1999-7909","II-UST-FC-334"
"7147","02-1999-7911","II-UST-FC-410"
"7148","02-1999-7912","II-UST-FC-412"
"8807","02-2002-3098","CWA-02-2002-3098"
"9909","03-1985-0117","RCRA-III-058"
"9910","03-1985-0118","RCRA-III-059"
"9911","03-1985-0119","RCRA-III-060"
"18498","03-1999-0131","III-99-022-DC"
"18501","03-1999-0134","TSCA-3-99-0010"
"18502","03-1999-0135","III-99-023-DC"
"18506","03-1999-0139","CWA-3-99-0018"
"18852","03-2000-0110","CWA-3-2000-0017"
"9340","03-1981-0368","III-86-09-DC"
"10017","03-1985-0511","III-85-014VA"
"10018","03-1985-0512","III-85-015VA"
"10019","03-1985-0513","III-85-016VA"
"10020","03-1985-0514","III-85-017VA"
"10021","03-1985-0515","III-85-018VA"
"10022","03-1985-0516","III-85-019VA"
"10023","03-1985-0517","III-85-020VA"
"10024","03-1985-0518","III-85-021VA"
"10025","03-1985-0519","III-85-022VA"
"10026","03-1985-0520","III-85-023VA"
"10027","03-1985-0700","III-86-001DW"
"10028","03-1985-0701","III-86-002DW"
"10029","03-1985-0702","III-86-003DW"
"57364","HQ-1998-0088","FIFRA-98-H-03"
"600028922","08-2007-0045","SDWA-08-2007-0026"
"600028948","08-2007-0048","SDWA-08-2007-0029"
"600028953","08-2007-0049","SDWA-08-2007-0030"
"600029036","02-2007-9105","TSCA-02-2007-9105"
"11293","03-1987-0225","88-4645"
"11295","03-1987-0227","III-1987-025DS"
"11296","03-1987-0228","III-1987-026DS"
"11284","03-1987-0216","03-87-0125NT"
"11286","03-1987-0218","03-87-0127NT"
"11849","03-1987-0819","III-77-007VA"
"11850","03-1987-0820","III-77-008VA"
"11851","03-1987-0821","III-77-009VA"
"11852","03-1987-0822","III-77-010VA"
"11853","03-1987-0823","III-77-011VA"
"6063","02-1997-0150","113-97-031"
"6064","02-1997-0151","113-97-032"
"6065","02-1997-0152","113-97-033"
"6066","02-1997-0153","113-97-034"
"6067","02-1997-0154","113-97-035"
"6068","02-1997-0155","113-97-036"
"6069","02-1997-0156","113-97-037"
"6070","02-1997-0157","113-97-045"
"6071","02-1997-0158","113-97-046"
"6072","02-1997-0159","II-RCRA-UST-97-0101"
"4840","02-1993-0212","93-0305 EPCRA"
"5297","02-1995-0093","II-TSCA-PMN-95-0120"
"5299","02-1995-0095","II-TSCA-PMN-95-0225"
"6711","02-1998-0361","F&R-II-554-C"
"6714","02-1998-0364","II-CERCLA-98-0302"
"6715","02-1998-0365","113-98-087"
"6716","02-1998-0366","113-98-078"
"4150","02-1991-0158","91-0213"
"8578","02-2001-8064","SDWA-02-2001-8064"
"8579","02-2001-8065","SDWA-02-2001-8065"
"8580","02-2001-8066","SDWA-02-2001-8066"
"8581","02-2001-8067","SDWA-02-2001-8067"
"8582","02-2001-8068","SDWA-02-2001-8068"
"8583","02-2001-8069","SDWA-02-2001-8069"
"8584","02-2001-8070","SDWA-02-2001-8070"
"8585","02-2001-8071","SDWA-02-2001-8071"
"8586","02-2001-8072","SDWA-02-2001-8072"
"8587","02-2001-8073","SDWA-02-2001-8073"
"8590","02-2001-8077","SDWA-02-2001-8077"
"7797","02-2000-8205","SDWA-02-2000-8205"
"7798","02-2000-8206","SDWA-02-2000-8206"
"7799","02-2000-8207","SDWA-02-2000-8207"
"7800","02-2000-8208","SDWA-02-2000-8208"
"7801","02-2000-8209","SDWA-02-2000-8209"
"7802","02-2000-8210","SDWA-02-2000-8210"
"7803","02-2000-8211","SDWA-02-2000-8211"
"9276","03-1981-0303","III-87-003DS"
"9277","03-1981-0304","III-87-004DS"
"9279","03-1981-0306","III-87-006DS"
"9280","03-1981-0307","III-87-007DS"
"9281","03-1981-0308","03-87-001VS"
"8691","02-2001-9106","TSCA-02-2001-9106"
"8693","02-2001-9108","TSCA-02-2001-9108"
"7199","02-1999-9106","TSCA-02-99-9106"
"11028","03-1986-0870","03-87-0028NT"
"11029","03-1986-0871","03-87-0029NT"
"11030","03-1986-0872","03-87-0030NT"
"11031","03-1986-0873","03-87-0031NT"
"11032","03-1986-0874","03-87-0032NT"
"11033","03-1986-0875","03-87-0033NT"
"11034","03-1986-0876","03-87-0034NT"
"11035","03-1986-0877","RCRA-III-161"
"10087","03-1985-0775","III-87-012DW"
"10088","03-1985-0776","III-87-013DW"
"10089","03-1985-0777","III-87-014DW"
"10090","03-1985-0778","III-87-015DW"
"10091","03-1985-0779","III-87-016DW"
"10638","03-1986-0473","III-119-C"
"600029910","07-2007-0085","07-1304-MLB"
"600030605","02-2007-4106","EPCRA-02-2007-4106"
"600030610","04-2007-8002","CAA-04-2007-8002(b)"
"600030691","06-2007-1792","06-2007-1792"
"600030695","02-2007-7931","II-UST-FC-1200"
"600030697","02-2007-7932","II-UST-FC-1219"
"8031","02-2000-8440","SDWA-02-2000-8440"
"8032","02-2000-8441","SDWA-02-2000-8441"
"8033","02-2000-8442","SDWA-02-2000-8442"
"8034","02-2000-8443","SDWA-02-2000-8443"
"12406","03-1988-0430","90-2018"
"9289","03-1981-0316","03-87-009VS"
"7784","02-2000-8192","SDWA-02-2000-8192"
"8657","02-2001-8264","SDWA-02-2001-8264"
"8904","02-2002-8064","SDWA-02-2002-8064"
"8905","02-2002-8065","SDWA-02-2002-8065"
"8906","02-2002-8066","SDWA-02-2002-8066"
"8907","02-2002-8067","SDWA-02-2002-8067"
"8909","02-2002-8069","SDWA-02-2002-8069"
"8910","02-2002-8070","SDWA-02-2002-8070"
"8911","02-2002-8071","SDWA-02-2002-8071"
"9339","03-1981-0367","III-86-08-DC"
"918","01-1998-0111","FIELD CIT. 98-082"
"919","01-1998-0112","FIELD CIT. 98-137"
"921","01-1998-0114","FIELD CIT. 98-093"
"922","01-1998-0115","FIELD CIT. 98-094"
"924","01-1998-0117","FIELD CIT. 98-096"
"925","01-1998-0118","FIELD CIT. 98-15"
"1023","01-1999-0032","AAA-99-0001"
"3184","02-1988-0654","88-0202"
"2559","02-1987-0350","87-0216"
"2560","02-1987-0351","87-0217"
"2562","02-1987-0353","87-0232"
"2564","02-1987-0355","87-0229"
"2565","02-1987-0356","120-60301"
"2567","02-1987-0360","87-0223"
"2574","02-1987-0375","87-0250"
"2580","02-1987-0382","87-0228"
"4176","02-1991-0184","91-0126"
"4178","02-1991-0186","91-0231"
"1103","01-1999-0114","1:99-CV-366"
"1107","01-1999-0121","CERCLA 1-98-1037"
"1109","01-1999-0123","RCRA-1-99-0062"
"4156","02-1991-0164","UIC-AO-91-05"
"1410","01-2000-0226","3:03-CV-30197-KPM"
"1414","01-2000-0230","CERCLA 1-2000-0032"
"1416","01-2000-0232","CERCLA 1-2000-0019"
"1417","01-2000-0233","CERCLA 1-2000-0005"
"320","01-1995-0014","TSCA-I-92-1058"
"321","01-1995-0015","TSCA-I-94-1079"
"322","01-1995-0016","CAA-I-92-1061"
"324","01-1995-0018","TSCA-I-93-1094"
"326","01-1995-0020","TSCA I-90-1080"
"329","01-1995-0023","FIFR-I-93-1103"
"331","01-1995-0025","TSCA-I-94-1060"
"1739","02-1975-0005","75-774"
"600030187","04-2006-7006","CWA-04-2006-7006"
"3953","02-1990-0228","90-0009"
"1248","01-2000-0051","I-2000-0027"
"1253","01-2000-0056","RCRA-1-2000-0017"
"7667","02-2000-8075","SDWA-02-2000-8075"
"7668","02-2000-8076","SDWA-02-2000-8076"
"7379","02-2000-3019","CWA-02-2000-3019"
"7380","02-2000-3020","CWA-02-2000-3020"
"7381","02-2000-3021","CWA-02-2000-3021"
"7383","02-2000-3023","CWA-02-2000-3023"
"7928","02-2000-8337","SDWA-02-2000-8337"
"7929","02-2000-8338","SDWA-02-2000-8338"
"7930","02-2000-8339","SDWA-02-2000-8339"
"10843","03-1986-0679","03-86-0096NT"
"10845","03-1986-0681","03-86-0098NT"
"10846","03-1986-0682","03-86-0099NT"
"11384","03-1987-0320","III-76-028-W"
"11385","03-1987-0321","III-76-029-W"
"11386","03-1987-0322","III-76-030-W"
"11387","03-1987-0323","III-76-031-W"
"11388","03-1987-0324","III-76-033-W"
"11389","03-1987-0325","III-76-033-W"
"11390","03-1987-0326","III-76-034-W"
"11391","03-1987-0327","III-76-035-W"
"11392","03-1987-0328","III-76-036-W"
"11393","03-1987-0329","III-76-037-W"
"11394","03-1987-0330","III-76-038-W"
"11395","03-1987-0331","III-76-039-W"
"8743","02-2002-1005","CAA-02-2002-1005"
"8746","02-2002-1015","CAA-02-2002-1015"
"8766","02-2002-2002","CERCLA-02-2002-2002"
"12000","03-1987-0974","III-326-C"
"12001","03-1987-0975","III-327-C"
"8549","02-2001-8034","SDWA-02-2001-8034"
"8439","02-2001-3803","CWA-02-2001-3803"
"8441","02-2001-4102","EPCRA-02-2001-4102"
"6543","02-1998-0192","II-UST-FC-343"
"577","01-1997-0018","CWA 2-I-97-1016"
"578","01-1997-0019","EPCRA-I-97-1005"
"581","01-1997-0022","CWA-1-I-97-1032"
"582","01-1997-0023","FIELD CITATION 97-01"
"584","01-1997-0025","FIELD CIT. 97-061"
"661","01-1997-0103","FIELD CIT. 97-118"
"666","01-1997-0108","CWA-1-I-97-1061"
"667","01-1997-0109","CWA-1-I-97-1052"
"669","01-1997-0111","CWA-1-I-97-1062"
"600029355","05-2007-2009","RUST-05-2007-0009"
"600029357","07-2007-0077","CAA-07-2007-0018"
"600029359","07-2007-0076","TSCA-07-2007-0018"
"600029367","05-2007-2008","RUST-05-2007-0008"
"600030435","04-2007-4500","CWA-04-2007-4500(b)"
"854","01-1998-0044","CWA 2-I-98-1001"
"1034","01-1999-0045","CERCLA-1-99-0008"
"485","01-1996-0055","AAA-96-0042"
