"ACTIVITY_ID","CASE_NUMBER","ACTIVITY_STATUS_DATE","ACTIVITY_TYPE_CODE","ACTIVITY_TYPE_DESC"
"47387","07-2001-0239",,"CMD","Case File"
"47469","07-2002-0003",,"CMD","Case File"
"94444","01-2003-9050","11/04/2002","SFD","Voluntary Disclosure"
"94321","01-2003-9041","10/25/2002","SFD","Voluntary Disclosure"
"95485","01-2003-9061","04/04/2003","SFD","Voluntary Disclosure"
"87459","HQ-2002-0000","01/17/2002","SFD","Voluntary Disclosure"
"94555","01-2003-9060","11/04/2002","SFD","Voluntary Disclosure"
"93872","01-2003-9025","12/06/2002","SFD","Voluntary Disclosure"
"88539","HQ-2002-5037","09/06/2002","SFD","Voluntary Disclosure"
"112472","01-2004-9034","02/12/2004","SFD","Voluntary Disclosure"
"51714","08-2001-0003",,"JDC","Judicial"
"112767","06-2004-1116","09/29/2004","AFR","Administrative - Formal"
"102428","01-2003-9081","05/28/2003","SFD","Voluntary Disclosure"
"93747","01-2003-9014","03/17/2010","SFD","Voluntary Disclosure"
"94919","06-2003-0741","10/10/2002","INS","Inspection/Evaluation"
"93756","01-2003-9015","03/17/2010","SFD","Voluntary Disclosure"
"312","01-1995-0006","10/01/2003","AFR","Administrative - Formal"
"94062","04-2002-9027","02/27/2003","SFD","Voluntary Disclosure"
"33510","05-2002-0166",,"CMD","Case File"
"41196","06-2001-0294",,"AFR","Administrative - Formal"
"155817","08-2005-0162",,"AFR","Administrative - Formal"
"600027500","08-2007-0027",,"AFR","Administrative - Formal"
"91916","03-2003-0127","06/18/2004","AFR","Administrative - Formal"
"1673","01-2002-0035","09/25/2003","JDC","Judicial"
"24359","04-2001-0120",,"AFR","Administrative - Formal"
"93073","04-2003-9906","03/11/2003","SFD","Voluntary Disclosure"
"94351","01-2003-9047","08/09/2002","SFD","Voluntary Disclosure"
"103615","03-2003-0364","03/22/2004","AFR","Administrative - Formal"
"46536","07-2000-0018","05/22/2000","INS","Inspection/Evaluation"
"108498","03-2004-0064","11/15/2004","AFR","Administrative - Formal"
"94315","01-2003-9040","12/04/2002","SFD","Voluntary Disclosure"
"87015","08-2002-0144",,"JDC","Judicial"
"118786","05-2004-1087","11/06/2003","SFD","Voluntary Disclosure"
"137422","03-2005-0066",,"AFR","Administrative - Formal"
"108414","06-2004-1106","04/22/2004","AFR","Administrative - Formal"
"108414","06-2004-1106","04/22/2004","AFR","Administrative - Formal"
"103166","WF-2003-3006","09/12/2003","SFD","Voluntary Disclosure"
"96113","04-2003-9013","11/19/2002","AFR","Administrative - Formal"
"102353","06-2003-1123",,"AFR","Administrative - Formal"
"102126","03-2003-0342",,"CMD","Case File"
"102126","03-2003-0342",,"CMD","Case File"
"600009495","08-2006-0159",,"AFR","Administrative - Formal"
"86704","05-2003-0002",,"CMD","Case File"
"107946","03-2004-0040",,"AFR","Administrative - Formal"
"111726","04-2004-5767",,"AFR","Administrative - Formal"
"96161","04-2003-5767",,"AFR","Administrative - Formal"
"174636","08-2006-0076",,"AFR","Administrative - Formal"
"96480","06-2003-1962","09/26/2003","AFR","Administrative - Formal"
"96480","06-2003-1962","09/26/2003","AFR","Administrative - Formal"
"85891","04-2002-5501",,"AFR","Administrative - Formal"
"148642","03-2005-0187",,"AFR","Administrative - Formal"
"24804","04-2002-3755",,"AFR","Administrative - Formal"
"92286","06-2003-1119","07/08/2003","INS","Inspection/Evaluation"
"94526","04-2003-5759",,"AFR","Administrative - Formal"
"114092","06-2004-1119","09/20/2004","AFR","Administrative - Formal"
"98709","04-2003-3513","03/14/2004","AFR","Administrative - Formal"
"89702","04-2003-5756","04/30/2003","AFR","Administrative - Formal"
"114597","06-2004-0304","02/25/2004","INS","Inspection/Evaluation"
"166141","08-2006-0020",,"AFR","Administrative - Formal"
"136004","01-2005-1008","09/30/2004","AIF","Administrative - Informal"
"137164","07-2005-0080",,"AFR","Administrative - Formal"
"101607","08-2003-0149",,"AFR","Administrative - Formal"
"156852","08-2005-0165",,"AFR","Administrative - Formal"
"124995","06-2004-1142","02/28/2005","AFR","Administrative - Formal"
"96230","06-2003-0516",,"CMD","Case File"
"32227","05-2000-0186",,"JDC","Judicial"
"109786","06-2004-0901",,"CMD","Case File"
"118200","06-2004-5303","06/08/2004","CMD","Case File"
"91862","08-2003-0045",,"JDC","Judicial"
"111469","06-2004-1110","08/23/2004","AFR","Administrative - Formal"
"141563","08-2005-0048",,"AFR","Administrative - Formal"
"7216","02-2000-0004","02/10/2004","AFR","Administrative - Formal"
"7216","02-2000-0004","02/10/2004","AFR","Administrative - Formal"
"102658","03-2003-0355","01/07/2004","AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"41831","06-2002-1130",,"AFR","Administrative - Formal"
"19474","03-2001-0096","05/26/2004","OSR","Offsite Record Review"
"171616","08-2006-0057",,"AFR","Administrative - Formal"
"110683","10-2004-0020",,"AFR","Administrative - Formal"
"600008569","08-2006-0158",,"AFR","Administrative - Formal"
"154686","08-2005-0148",,"AFR","Administrative - Formal"
"113267","06-2004-1118","03/25/2005","AFR","Administrative - Formal"
"41831","06-2002-1130","02/04/2004","AIF","Administrative - Informal"
"121885","04-2004-5503",,"AFR","Administrative - Formal"
"122087","04-2004-5502",,"AFR","Administrative - Formal"
"105936","05-2003-0347",,"JDC","Judicial"
"141621","08-2005-0049",,"AFR","Administrative - Formal"
"132493","06-2005-1102","10/28/2004","AFR","Administrative - Formal"
"55843","10-1999-0238",,"JDC","Judicial"
"117652","08-2004-0081",,"AFR","Administrative - Formal"
"114841","06-2004-0307","02/16/2004","INS","Inspection/Evaluation"
"92297","06-2003-1121","09/22/2005","AFR","Administrative - Formal"
"107007","10-2004-0005","10/07/2003","SFD","Voluntary Disclosure"
"111709","10-2004-0037","02/25/2004","SFD","Voluntary Disclosure"
"111935","10-2004-0038","02/25/2004","SFD","Voluntary Disclosure"
"114595","06-2004-0303","02/16/2004","INS","Inspection/Evaluation"
"102479","06-2003-1130","02/23/2004","AFR","Administrative - Formal"
"102783","06-2003-1139","01/28/2004","AFR","Administrative - Formal"
"109007","04-2004-1750","01/30/2004","AFR","Administrative - Formal"
"135499","06-2005-1749",,"AFR","Administrative - Formal"
"102988","05-2003-0434",,"JDC","Judicial"
"104251","05-2003-0443",,"JDC","Judicial"
"118121","06-2004-5301","04/05/2004","INS","Inspection/Evaluation"
"136004","01-2005-1008","06/03/2004","AFR","Administrative - Formal"
"19474","03-2001-0096",,"CMD","Case File"
"84755","08-2002-0088","03/30/2004","INS","Inspection/Evaluation"
"84755","08-2002-0088","03/30/2004","INS","Inspection/Evaluation"
"84763","08-2002-0089","03/30/2004","INS","Inspection/Evaluation"
"118007","08-2004-0083",,"JDC","Judicial"
"111404","06-2004-1112","01/24/2005","AFR","Administrative - Formal"
"110838","06-2004-1111","09/14/2004","AFR","Administrative - Formal"
"107006","10-2004-0004","10/07/2003","SFD","Voluntary Disclosure"
"600002248","08-2006-0131",,"AFR","Administrative - Formal"
"136288","06-2005-1781","02/07/2006","AFR","Administrative - Formal"
"136288","06-2005-1781","02/07/2006","AFR","Administrative - Formal"
"136285","06-2005-1778","02/07/2006","AFR","Administrative - Formal"
"136288","06-2005-1781","02/07/2006","AFR","Administrative - Formal"
"136285","06-2005-1778","02/07/2006","AFR","Administrative - Formal"
"136288","06-2005-1781","02/07/2006","AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"1000012666","05-2008-1236",,"AFR","Administrative - Formal"
"113879","WF-2003-1502","01/28/2004","SFD","Voluntary Disclosure"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"149626","10-2005-0192",,"AFR","Administrative - Formal"
"600085031","EF-2008-0008",,"JDC","Judicial"
"155817","08-2005-0162",,"AFR","Administrative - Formal"
"154686","08-2005-0148",,"AFR","Administrative - Formal"
"155915","08-2005-0166","11/04/2005","AFR","Administrative - Formal"
"171413","06-2006-1934","03/16/2006","AFR","Administrative - Formal"
"130668","05-2004-0545",,"AFR","Administrative - Formal"
"600063745","05-2007-9920","02/28/2005","AIF","Administrative - Informal"
"600063745","05-2007-9920","02/28/2005","AIF","Administrative - Informal"
"600063745","05-2007-9920","02/28/2005","AIF","Administrative - Informal"
"600063745","05-2007-9920","02/28/2005","AIF","Administrative - Informal"
"600063745","05-2007-9920","02/28/2005","AIF","Administrative - Informal"
"600063745","05-2007-9920","02/28/2005","AIF","Administrative - Informal"
"600063745","05-2007-9920","02/28/2005","AIF","Administrative - Informal"
"600063745","05-2007-9920","02/28/2005","AIF","Administrative - Informal"
