"ACTIVITY_ID","CASE_NUMBER","RELIEF_CODE","RELIEF_DESC"
"45","01-1982-0010","INJ","Injunctive Relief"
"47","01-1982-0012","CFS","Cost Recovery RI/FS (CERCLA)"
"47","01-1982-0012","CRA","Cost Recovery"
"47","01-1982-0012","CRD","Cost Recovery Remedial Design (CERCLA)"
"47","01-1982-0012","IRA","Injunctive Remedial Action (CERCLA)"
"47","01-1982-0012","IRD","Injunctive Remedial Design (CERCLA)"
"49","01-1982-0014","CFS","Cost Recovery RI/FS (CERCLA)"
"49","01-1982-0014","CRA","Cost Recovery"
"49","01-1982-0014","CRD","Cost Recovery Remedial Design (CERCLA)"
"49","01-1982-0014","CRR","Cost Recovery Removal (CERCLA)"
"93","01-1985-0006","PEN","Penalty"
"120","01-1986-0022","CFS","Cost Recovery RI/FS (CERCLA)"
"120","01-1986-0022","CRA","Cost Recovery"
"120","01-1986-0022","CRD","Cost Recovery Remedial Design (CERCLA)"
"120","01-1986-0022","CRR","Cost Recovery Removal (CERCLA)"
"124","01-1987-0005","CRA","Cost Recovery"
"124","01-1987-0005","CRD","Cost Recovery Remedial Design (CERCLA)"
"133","01-1987-0014","INJ","Injunctive Relief"
"133","01-1987-0014","PEN","Penalty"
"155","01-1988-0017","INJ","Injunctive Relief"
"155","01-1988-0017","PEN","Penalty"
"163","01-1988-0025","PEN","Penalty"
"164","01-1988-0026","CFS","Cost Recovery RI/FS (CERCLA)"
"164","01-1988-0026","CRR","Cost Recovery Removal (CERCLA)"
"166","01-1989-0002","IFS","Injunctive RI/FS (CERCLA)"
"167","01-1989-0003","INJ","Injunctive Relief"
"167","01-1989-0003","PEN","Penalty"
"168","01-1989-0004","IRA","Injunctive Remedial Action (CERCLA)"
"169","01-1989-0005","INJ","Injunctive Relief"
"169","01-1989-0005","PEN","Penalty"
"170","01-1989-0007","INJ","Injunctive Relief"
"170","01-1989-0007","PEN","Penalty"
"171","01-1989-0008","PEN","Penalty"
"172","01-1989-0009","CFS","Cost Recovery RI/FS (CERCLA)"
"172","01-1989-0009","CRA","Cost Recovery"
"172","01-1989-0009","CRD","Cost Recovery Remedial Design (CERCLA)"
"173","01-1989-0010","COR","Corrective Action (RCRA)"
"173","01-1989-0010","INJ","Injunctive Relief"
"173","01-1989-0010","PEN","Penalty"
"174","01-1989-0011","CRA","Cost Recovery"
"175","01-1989-0012","CFS","Cost Recovery RI/FS (CERCLA)"
"175","01-1989-0012","OCR","Other Cost Recovery (CERCLA)"
"176","01-1989-0013","INJ","Injunctive Relief"
"177","01-1989-0014","INJ","Injunctive Relief"
"177","01-1989-0014","PEN","Penalty"
"178","01-1989-0015","PEN","Penalty"
"179","01-1989-0016","OCR","Other Cost Recovery (CERCLA)"
"180","01-1989-0017","INJ","Injunctive Relief"
"180","01-1989-0017","PEN","Penalty"
"181","01-1989-0018","INJ","Injunctive Relief"
"181","01-1989-0018","PEN","Penalty"
"182","01-1989-0019","INJ","Injunctive Relief"
"183","01-1989-0020","INJ","Injunctive Relief"
"184","01-1989-0021","INJ","Injunctive Relief"
"184","01-1989-0021","PEN","Penalty"
"185","01-1989-0023","INJ","Injunctive Relief"
"185","01-1989-0023","PEN","Penalty"
"186","01-1989-0024","CFS","Cost Recovery RI/FS (CERCLA)"
"186","01-1989-0024","CRR","Cost Recovery Removal (CERCLA)"
"186","01-1989-0024","IRA","Injunctive Remedial Action (CERCLA)"
"186","01-1989-0024","IRD","Injunctive Remedial Design (CERCLA)"
"187","01-1989-0026","CFS","Cost Recovery RI/FS (CERCLA)"
"187","01-1989-0026","CRR","Cost Recovery Removal (CERCLA)"
"187","01-1989-0026","IRA","Injunctive Remedial Action (CERCLA)"
"187","01-1989-0026","IRD","Injunctive Remedial Design (CERCLA)"
"188","01-1989-0027","INJ","Injunctive Relief"
"188","01-1989-0027","PEN","Penalty"
"189","01-1989-0028","CRA","Cost Recovery"
"189","01-1989-0028","CRD","Cost Recovery Remedial Design (CERCLA)"
"189","01-1989-0028","IRA","Injunctive Remedial Action (CERCLA)"
"189","01-1989-0028","IRD","Injunctive Remedial Design (CERCLA)"
"191","01-1989-0030","CRA","Cost Recovery"
"191","01-1989-0030","CRD","Cost Recovery Remedial Design (CERCLA)"
"192","01-1989-0031","INJ","Injunctive Relief"
"193","01-1990-0001","PEN","Penalty"
"194","01-1990-0002","CRR","Cost Recovery Removal (CERCLA)"
"195","01-1990-0003","INJ","Injunctive Relief"
"195","01-1990-0003","PEN","Penalty"
"196","01-1990-0004","INJ","Injunctive Relief"
"196","01-1990-0004","PEN","Penalty"
"197","01-1990-0006","INJ","Injunctive Relief"
"197","01-1990-0006","PEN","Penalty"
"198","01-1990-0007","CRA","Cost Recovery"
"198","01-1990-0007","CRD","Cost Recovery Remedial Design (CERCLA)"
"199","01-1990-0008","CFS","Cost Recovery RI/FS (CERCLA)"
"199","01-1990-0008","CRA","Cost Recovery"
"199","01-1990-0008","CRD","Cost Recovery Remedial Design (CERCLA)"
"199","01-1990-0008","CRR","Cost Recovery Removal (CERCLA)"
"200","01-1990-0009","CRA","Cost Recovery"
"201","01-1990-0010","CFS","Cost Recovery RI/FS (CERCLA)"
"201","01-1990-0010","IRA","Injunctive Remedial Action (CERCLA)"
"201","01-1990-0010","IRD","Injunctive Remedial Design (CERCLA)"
"202","01-1990-0023","INJ","Injunctive Relief"
"203","01-1990-0024","INJ","Injunctive Relief"
"203","01-1990-0024","PEN","Penalty"
"204","01-1990-0025","INJ","Injunctive Relief"
"204","01-1990-0025","PEN","Penalty"
"205","01-1990-0027","INJ","Injunctive Relief"
"205","01-1990-0027","PEN","Penalty"
"206","01-1990-0029","INJ","Injunctive Relief"
"207","01-1990-0034","CFS","Cost Recovery RI/FS (CERCLA)"
"207","01-1990-0034","IRA","Injunctive Remedial Action (CERCLA)"
"207","01-1990-0034","IRD","Injunctive Remedial Design (CERCLA)"
"208","01-1990-0037","CFS","Cost Recovery RI/FS (CERCLA)"
"208","01-1990-0037","CRA","Cost Recovery"
"208","01-1990-0037","CRD","Cost Recovery Remedial Design (CERCLA)"
"208","01-1990-0037","CRR","Cost Recovery Removal (CERCLA)"
"209","01-1990-0039","INJ","Injunctive Relief"
"209","01-1990-0039","PEN","Penalty"
"210","01-1990-0041","INJ","Injunctive Relief"
"210","01-1990-0041","PEN","Penalty"
"211","01-1990-0042","INJ","Injunctive Relief"
"211","01-1990-0042","PEN","Penalty"
"212","01-1990-0043","INJ","Injunctive Relief"
"212","01-1990-0043","PEN","Penalty"
"213","01-1990-0044","INJ","Injunctive Relief"
"213","01-1990-0044","PEN","Penalty"
"214","01-1990-0045","INJ","Injunctive Relief"
"214","01-1990-0045","PEN","Penalty"
"215","01-1990-0046","CRA","Cost Recovery"
"215","01-1990-0046","CRD","Cost Recovery Remedial Design (CERCLA)"
"217","01-1990-0049","COR","Corrective Action (RCRA)"
"217","01-1990-0049","INJ","Injunctive Relief"
"217","01-1990-0049","PEN","Penalty"
"218","01-1990-0051","CFS","Cost Recovery RI/FS (CERCLA)"
"218","01-1990-0051","CRR","Cost Recovery Removal (CERCLA)"
"220","01-1990-0053","INJ","Injunctive Relief"
"220","01-1990-0053","PEN","Penalty"
"221","01-1990-0054","PEN","Penalty"
"224","01-1990-0059","CRR","Cost Recovery Removal (CERCLA)"
"225","01-1991-0001","CFS","Cost Recovery RI/FS (CERCLA)"
"225","01-1991-0001","CRA","Cost Recovery"
"225","01-1991-0001","CRR","Cost Recovery Removal (CERCLA)"
"225","01-1991-0001","IFS","Injunctive RI/FS (CERCLA)"
