"ACTIVITY_ID","CASE_NUMBER","VIOLATION_TYPE_CODE","RANK_ORDER","VIOLATION_TYPE_DESC"
"57868","HQ-2000-3050","REP","1","Violations Of Reporting Requirements"
"19","01-1976-0008","SIP","1","Violation Of A SIP, Not Otherwise Specified"
"57277","HQ-1997-0462","REP","1","Violations Of Reporting Requirements"
"57279","HQ-1997-0464","REP","1","Violations Of Reporting Requirements"
"57280","HQ-1997-0465","REP","1","Violations Of Reporting Requirements"
"57281","HQ-1997-0466","REP","1","Violations Of Reporting Requirements"
"57282","HQ-1997-0467","REP","1","Violations Of Reporting Requirements"
"57870","HQ-2000-3052","FIFRA","1","FIFRA"
"57871","HQ-2000-3053","REP","1","Violations Of Reporting Requirements"
"57872","HQ-2000-3054","PMN","1","Pre-Manufacturing Notice Requirements"
"57874","HQ-2000-3056","REP","1","Violations Of Reporting Requirements"
"866","01-1998-0057","NOPRMT","1","Discharge, Emission Or Activity WO Required Permit"
"868","01-1998-0059","STR","1","Violation Of Storage Facility Requirements"
"874","01-1998-0065","UST","1","UST Requirements, Other Than LDAR"
"876","01-1998-0067","REP","1","Violations Of Reporting Requirements"
"876","01-1998-0067","REC","2","Violation Of Req. To Monitior/Maintain Records"
"882","01-1998-0073","SPILL","1","Oil Spill Violation Under CWA/OPA"
"887","01-1998-0079","NOPRMT","1","Discharge, Emission Or Activity WO Required Permit"
"894","01-1998-0086","UST","1","UST Requirements, Other Than LDAR"
"895","01-1998-0087","UST","1","UST Requirements, Other Than LDAR"
"896","01-1998-0088","UST","1","UST Requirements, Other Than LDAR"
"898","01-1998-0090","UST","1","UST Requirements, Other Than LDAR"
"600030634","02-2007-5115","NORPTG",,"Failure To Report Information As Required"
"1353","01-2000-0167","PWSMR","1","PWS Monitoring/Reporting"
"1353","01-2000-0167","REP","2","Violations Of Reporting Requirements"
"1354","01-2000-0168","PWSMR","1","PWS Monitoring/Reporting"
"1354","01-2000-0168","REP","2","Violations Of Reporting Requirements"
"4119","02-1991-0127","REP","1","Violations Of Reporting Requirements"
"6060","02-1997-0147","NESHAP","1","National Emission Standard For Hazardous Air Pollutant"
"6061","02-1997-0148","NESHAP","1","National Emission Standard For Hazardous Air Pollutant"
"6062","02-1997-0149","NESHAP","1","National Emission Standard For Hazardous Air Pollutant"
"10442","03-1986-0277","ASB","1","Asbestos Requirement Violation (CAA)"
"10443","03-1986-0278","PCB","1","Violation Of PCB Rules"
"10444","03-1986-0279","ASB","1","Asbestos Requirement Violation (CAA)"
"4396","02-1992-0043","REP","1","Violations Of Reporting Requirements"
"4404","02-1992-0052","PRETMT","1","Pretreatment Violation"
"4409","02-1992-0058","PRMTVL","1","Violation Of A Permit Requirement"
"4416","02-1992-0065","REP","1","Violations Of Reporting Requirements"
"5035","02-1994-0125","PRMTVL","1","Violation Of A Permit Requirement"
"7761","02-2000-8169","REP","1","Violations Of Reporting Requirements"
"7762","02-2000-8170","REP","1","Violations Of Reporting Requirements"
"5667","02-1996-0063","PRMTVL","1","Violation Of A Permit Requirement"
"56800","HQ-1988-0042","PMN","1","Pre-Manufacturing Notice Requirements"
"6002","02-1997-0089","REP","1","Violations Of Reporting Requirements"
"6288","02-1997-0385","NESHAP","1","National Emission Standard For Hazardous Air Pollutant"
"6290","02-1997-0387","NESHAP","1","National Emission Standard For Hazardous Air Pollutant"
"8037","02-2000-8446","REP","1","Violations Of Reporting Requirements"
"7047","02-1999-3304","REP","1","Violations Of Reporting Requirements"
"7049","02-1999-3306","REP","1","Violations Of Reporting Requirements"
"7049","02-1999-3306","PWSSA","2","PWS Sampling & Analyzing"
"8259","02-2001-1029","WKPR","1","Asbesto Demolition/Renovation Work Pratice Req."
"8259","02-2001-1029","ASB","2","Asbestos Requirement Violation (CAA)"
"8261","02-2001-1031","WKPR","1","Asbesto Demolition/Renovation Work Pratice Req."
"8261","02-2001-1031","ASB","2","Asbestos Requirement Violation (CAA)"
"8263","02-2001-1033","WKPR","1","Asbesto Demolition/Renovation Work Pratice Req."
"8263","02-2001-1033","ASB","2","Asbestos Requirement Violation (CAA)"
"600028994","02-2007-7928","UST",,"UST Requirements, Other Than LDAR"
"600028994","02-2007-7928","LDAR",,"UST Leak Detection And Repair"
"600029125","03-2007-0069","PRMTVL",,"Violation Of A Permit Requirement"
"7787","02-2000-8195","REP","1","Violations Of Reporting Requirements"
"7789","02-2000-8197","REP","1","Violations Of Reporting Requirements"
"6131","02-1997-0221","PRMTVL","1","Violation Of A Permit Requirement"
"6132","02-1997-0222","PRMTVL","1","Violation Of A Permit Requirement"
"6133","02-1997-0223","PRMTVL","1","Violation Of A Permit Requirement"
"6134","02-1997-0224","PRMTVL","1","Violation Of A Permit Requirement"
"6135","02-1997-0225","PRMTVL","1","Violation Of A Permit Requirement"
"5993","02-1997-0080","NOPRMT","1","Discharge, Emission Or Activity WO Required Permit"
"5996","02-1997-0083","PRMTVL","1","Violation Of A Permit Requirement"
"4378","02-1992-0025","PMN","1","Pre-Manufacturing Notice Requirements"
"4378","02-1992-0025","GFR","2","General Facility Requirements"
"1421","01-2000-0237","UST","1","UST Requirements, Other Than LDAR"
"58025","HQ-2001-0523","RFG","1","Reformulated Gasoline"
"58028","HQ-2001-0526","RFG","1","Reformulated Gasoline"
"58035","HQ-2001-0534","RFG","1","Reformulated Gasoline"
"58039","HQ-2001-0539","CG",,"Conventional Gasoline"
"58047","HQ-2001-0548","RFG","1","Reformulated Gasoline"
"58050","HQ-2001-0551","RFG","1","Reformulated Gasoline"
"7138","02-1999-7901","UST","1","UST Requirements, Other Than LDAR"
"7139","02-1999-7902","UST","1","UST Requirements, Other Than LDAR"
"7140","02-1999-7903","UST","1","UST Requirements, Other Than LDAR"
"7141","02-1999-7904","UST","1","UST Requirements, Other Than LDAR"
"7142","02-1999-7905","UST","1","UST Requirements, Other Than LDAR"
"7144","02-1999-7907","REP","1","Violations Of Reporting Requirements"
"7147","02-1999-7911","GFR","1","General Facility Requirements"
"7147","02-1999-7911","CLO","2","Closure & Post-Closure Requirements"
