"PGM_SYS_ACRNM","PGM_SYS_ID","REGISTRY_ID","AGENCY","ACTIVITY_TYPE_CODE","ENF_TYPE_CODE","ENF_TYPE_DESC","ACHIEVED_DATE","ENF_IDENTIFIER","STATUTE"
"ICIS","8029695","110000308257","EPA","AIF","NONC","Notice of Noncompliance Issued","09/25/2006","01-200002069","EPCRA"
"ICIS","1946590","110000308569","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018913","EPCRA"
"RCRAINFO","MAD066610585","110000310299","EPA","AIF","NOV","Notice of Violation","06/21/2005","01-100022158","RCRA"
"ICIS","3400026390","110000311948","EPA","AIF","NOV","Notice of Violation","07/19/2013","01-200087168","EPCRA"
"ICIS","8063564","110000312180","EPA","AIF","NOV","Notice of Violation","04/19/2006","01-100023003","CAA"
"RCRAINFO","NHD058537960","110000313697","EPA","AIF","NOV","Notice of Violation","01/29/2003","01-100018837","RCRA"
"RCRAINFO","NHD073984288","110000313704","EPA","AIF","NOV","Notice of Violation","12/23/2002","01-100018836","RCRA"
"ICIS","3400097197","110000314570","EPA","AIF","NONC","Notice of Noncompliance Issued","02/11/2015","01-200111812","CAA"
"ICIS","3400097196","110000314570","EPA","AIF","NONC","Notice of Noncompliance Issued","02/11/2015","01-200111812","CAA"
"ICIS","2566512","110000314954","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018914","EPCRA"
"RCRAINFO","CTD001159730","110000315864","EPA","AIF","NOV","Notice of Violation","12/23/2002","01-100018825","RCRA"
"RCRAINFO","CTD021816889","110000316248","EPA","AIF","NOV","Notice of Violation","02/26/2003","01-100018845","RCRA"
"ICIS","1400008101","110000317194","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","09/18/2008","01-200011435","TSCA"
"ICIS","10275","110000317684","EPA","AIF","NONC","Notice of Noncompliance Issued","02/19/2003","01-100017493","TSCA"
"TRIS","07005DRNNC94FAN","110000317951","EPA","AIF","NONC","Notice of Noncompliance Issued","06/03/2011","02-200047636","EPCRA"
"ICIS","25062","110000318184","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018927","EPCRA"
"ICIS","2855","110000318317","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","08/12/2011","02-200049577","FIFRA"
"TRIS","07080TVCNC110PM","110000319094","EPA","AIF","NONC","Notice of Noncompliance Issued","06/03/2011","02-200046505","EPCRA"
"TRIS","07081BGLWC74DIA","110000319129","EPA","AIF","NONC","Notice of Noncompliance Issued","04/01/2014","02-200096831","EPCRA"
"TRIS","07105CWCND185FO","110000319343","EPA","AIF","NONC","Notice of Noncompliance Issued","04/08/2014","02-200097204","EPCRA"
"TRIS","07305CRLXN230CU","110000319824","EPA","AIF","NONC","Notice of Noncompliance Issued","06/18/2013","02-200085121","EPCRA"
"ICIS","13944","110000320260","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018935","EPCRA"
"TRIS","07544KRKRC1EAST","110000320304","EPA","AIF","NONC","Notice of Noncompliance Issued","06/03/2011","02-200046504","EPCRA"
"ICIS","2188872","110000321429","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018937","EPCRA"
"ICIS","2235560","110000322838","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018945","EPCRA"
"TRIS","11356NDSTR20451","110000323579","EPA","AIF","NONC","Notice of Noncompliance Issued","11/18/2025","02-200283245","EPCRA"
"TRIS","14006FLXVT1305E","110000326344","EPA","AIF","NONC","Notice of Noncompliance Issued","05/26/2016","02-200137853","EPCRA"
"TRIS","14012SSMRS7725L","110000326371","EPA","AIF","NONC","Notice of Noncompliance Issued","04/27/2012","02-200075374","EPCRA"
"TRIS","14107CWMCH1550B","110000326610","EPA","AIF","NONC","Notice of Noncompliance Issued","11/29/2012","02-200077350","EPCRA"
"RCRAINFO","NYD013508916","110000327619","EPA","AIF","NOV","Notice of Violation","09/02/2022","02-200261951","RCRA"
"ICIS","2235941","110000328262","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018948","EPCRA"
"ICIS","2659213","110000328921","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018950","EPCRA"
"RCRAINFO","PAD037247319","110000329056","EPA","AIF","NOV","Notice of Violation","11/04/2009","03-200029371","RCRA"
"RCRAINFO","PAD004341723","110000329207","EPA","AIF","NOV","Notice of Violation","04/02/2008","03-200008962","RCRA"
"RCRAINFO","PAD981037377","110000329396","EPA","AIF","NOV","Notice of Violation",,"03-200056070","RCRA"
"ICIS","3600170425","110000329467","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","07/28/2015","03-200138198","FIFRA"
"RCRAINFO","PAD004498432","110000329467","EPA","AIF","NOV","Notice of Violation","06/27/2008","03-200009953","RCRA"
