period_start_year,period_start,period_end,n_cases_initiated,administration,admin_year
2001,2001-01-20,2002-01-19,213,G.W. Bush,1
2002,2002-01-20,2003-01-19,170,G.W. Bush,2
2003,2003-01-20,2004-01-19,217,G.W. Bush,3
2004,2004-01-20,2005-01-19,180,G.W. Bush,4
2005,2005-01-20,2006-01-19,204,G.W. Bush,1
2006,2006-01-20,2007-01-19,173,G.W. Bush,2
2007,2007-01-20,2008-01-19,164,G.W. Bush,3
2008,2008-01-20,2009-01-19,233,G.W. Bush,4
2009,2009-01-20,2010-01-19,242,Obama,1
2010,2010-01-20,2011-01-19,233,Obama,2
2011,2011-01-20,2012-01-19,163,Obama,3
2012,2012-01-20,2013-01-19,151,Obama,4
2013,2013-01-20,2014-01-19,148,Obama,1
2014,2014-01-20,2015-01-19,117,Obama,2
2015,2015-01-20,2016-01-19,123,Obama,3
2016,2016-01-20,2017-01-19,141,Obama,4
2017,2017-01-20,2018-01-19,101,Trump,1
2018,2018-01-20,2019-01-19,97,Trump,2
2019,2019-01-20,2020-01-19,112,Trump,3
2020,2020-01-20,2021-01-19,112,Trump,4
2021,2021-01-20,2022-01-19,77,Biden,1
2022,2022-01-20,2023-01-19,82,Biden,2
2023,2023-01-20,2024-01-19,80,Biden,3
2024,2024-01-20,2025-01-19,80,Biden,4
2025,2025-01-20,2026-01-19,23,Trump,1
2026,2026-01-20,2027-01-19,11,Trump,2
